cluster_id,cluster_size,class_names
0,28,org.easymock.Capture;org.easymock.Capture$1;org.easymock.CaptureType;org.easymock.EasyMock;org.easymock.IArgumentMatcher;org.easymock.internal.LastControl;org.easymock.internal.matchers.And;org.easymock.internal.matchers.Any;org.easymock.internal.matchers.ArrayEquals;org.easymock.internal.matchers.Captures;org.easymock.internal.matchers.CompareEqual;org.easymock.internal.matchers.CompareTo;org.easymock.internal.matchers.Contains;org.easymock.internal.matchers.EndsWith;org.easymock.internal.matchers.Equals;org.easymock.internal.matchers.EqualsWithDelta;org.easymock.internal.matchers.Find;org.easymock.internal.matchers.GreaterOrEqual;org.easymock.internal.matchers.GreaterThan;org.easymock.internal.matchers.InstanceOf;org.easymock.internal.matchers.LessOrEqual;org.easymock.internal.matchers.LessThan;org.easymock.internal.matchers.Matches;org.easymock.internal.matchers.Not;org.easymock.internal.matchers.NotNull;org.easymock.internal.matchers.Null;org.easymock.internal.matchers.Or;org.easymock.internal.matchers.StartsWith
1,14,org.easymock.ConstructorArgs;org.easymock.internal.AndroidClassProxyFactory;org.easymock.internal.AndroidClassProxyFactory$MockHandler;org.easymock.internal.BridgeMethodResolver;org.easymock.internal.ClassInstantiatorFactory;org.easymock.internal.ClassMockingData;org.easymock.internal.ClassProxyFactory;org.easymock.internal.ClassProxyFactory$MockMethodInterceptor;org.easymock.internal.DefaultClassInstantiator;org.easymock.internal.IClassInstantiator;org.easymock.internal.ObjenesisClassInstantiator;org.easymock.internal.classinfoprovider.ClassInfoProvider;org.easymock.internal.classinfoprovider.DefaultClassInfoProvider;org.easymock.internal.classinfoprovider.JdkClassInfoProvider
2,12,org.easymock.EasyMockExtension;org.easymock.EasyMockListener;org.easymock.EasyMockRule;org.easymock.EasyMockRunner;org.easymock.EasyMockSupport;org.easymock.EasyMockSupport$ObjectMockingHelper;org.easymock.IMockBuilder;org.easymock.IMocksControl;org.easymock.MockType;org.easymock.internal.EasyMockStatement;org.easymock.internal.MockBuilder;org.easymock.internal.ReflectionUtils
3,12,org.easymock.internal.AssertionErrorWrapper;org.easymock.internal.EasyMockProperties;org.easymock.internal.ErrorMessage;org.easymock.internal.ExpectedInvocation;org.easymock.internal.ExpectedInvocationAndResult;org.easymock.internal.ExpectedInvocationAndResults;org.easymock.internal.Invocation;org.easymock.internal.MocksBehavior;org.easymock.internal.Range;org.easymock.internal.Result$1DelegatingAnswer;org.easymock.internal.Results;org.easymock.internal.UnorderedBehavior
4,10,org.easymock.IExpectationSetters;org.easymock.internal.AndroidSupport;org.easymock.internal.IMocksControlState;org.easymock.internal.IProxyFactory;org.easymock.internal.JavaProxyFactory;org.easymock.internal.MethodSerializationWrapper;org.easymock.internal.MockInvocationHandler;org.easymock.internal.MocksControl;org.easymock.internal.ObjectMethodsFilter;org.easymock.internal.RuntimeExceptionWrapper
5,8,org.easymock.IAnswer;org.easymock.internal.IMocksBehavior;org.easymock.internal.RecordState;org.easymock.internal.ReplayState;org.easymock.internal.Result;org.easymock.internal.Result$1ReturningAnswer;org.easymock.internal.Result$1ThrowingAnswer;org.easymock.internal.ThrowableWrapper
6,7,org.easymock.LogicalOperator;org.easymock.LogicalOperator$1;org.easymock.LogicalOperator$2;org.easymock.LogicalOperator$3;org.easymock.LogicalOperator$4;org.easymock.LogicalOperator$5;org.easymock.internal.matchers.Compare
7,5,org.easymock.internal.ArgumentToString;org.easymock.internal.PrimitiveUtils;org.easymock.internal.PrimitiveUtils$1;org.easymock.internal.PrimitiveUtils$PrimitiveEntry;org.easymock.internal.matchers.Same
8,5,org.easymock.Mock;org.easymock.internal.Injection;org.easymock.internal.InjectionPlan;org.easymock.internal.InjectionTarget;org.easymock.internal.Injector
9,1,org.easymock.Preview
10,1,org.easymock.TestSubject
11,1,org.easymock.internal.IgnoreAnimalSniffer
12,1,org.easymock.internal.LinkedClassLoader
