subject,seed,run_type,calibration_status,bounds_source,class_count,max_raw_edge_weight,imbalance_upper_bound,imbalance_bound_method,calibration_bound_violation,hypervolume,hv_leiden_only,hv_gain_over_leiden,n_solutions,n_non_leiden_partitions,n_injected_seed_solutions,n_non_injected_solutions,exact_leiden_present_in_front,leiden_dominated_by_front,n_solutions_dominating_leiden,runtime_sec,front_source,final_population_size,result_opt_size,feasible_population_size,constraint_violating_population_size,recomputed_nondominated_size,n_unique_objective_vectors,n_unique_canonical_partitions,front_validation_passed,has_feasible_solution,used_infeasible_fallback,solution_id,coupling,cohesion,imbalance,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,maximum_cluster_size,minimum_cluster_size,max_cluster_ratio,singleton_ratio,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
easymock,0,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.19819110901203896,0.09040091869622828,0.10779019031581068,100,100,1,99,False,True,1,6.591131082968786,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed0_solution029,0.27365356622998543,2.1134637080091623,0.6401530429259452,0.5711908515177894,0.7263464337700145,2.654255319148936,11,9.545454545454545,26,4,0.24761904761904763,0.0,False,False,,,,,,,,
easymock,1,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.22475856458800805,0.09040091869622828,0.1343576458917798,100,100,0,100,False,False,0,6.392734042019583,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed1_solution033,0.27219796215429404,1.7144024185690852,0.7850646665162335,0.5675187353406692,0.727802037845706,2.6737967914438503,12,8.75,27,1,0.2571428571428571,0.01904761904761905,False,False,,,,,,,,
easymock,2,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.17888107205308512,0.09040091869622828,0.08848015335685684,100,100,1,99,False,False,0,6.46884724998381,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed2_solution023,0.2714701601164483,1.8859406026072694,0.7960788256188199,0.5698189393794928,0.7285298398835517,2.683646112600536,12,8.75,27,1,0.2571428571428571,0.02857142857142857,False,False,,,,,,,,
easymock,3,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.2178119020063624,0.09040091869622828,0.12741098331013412,100,99,1,99,True,False,0,6.43550449993927,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed3_solution029,0.26419213973799127,3.220030895030895,0.7905909268423476,0.5782185906277728,0.7358078602620087,2.7851239669421486,12,8.75,28,2,0.26666666666666666,0.0,False,False,,,,,,,,
easymock,4,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.21980296715102052,0.09040091869622828,0.12940204845479225,100,100,0,100,False,True,1,6.5012466659536585,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed4_solution009,0.2612809315866084,1.9920495329586239,0.7235588538370508,0.5758489964383244,0.7387190684133915,2.8272980501392757,11,9.545454545454545,27,1,0.2571428571428571,0.009523809523809525,False,False,,,,,,,,
easymock,5,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.1868835024310776,0.09040091869622828,0.09648258373484932,100,100,0,100,False,False,0,6.514691042015329,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed5_solution021,0.26055312954876275,1.9318232693232693,0.8176621726430963,0.5775291915358836,0.7394468704512372,2.8379888268156424,12,8.75,27,1,0.2571428571428571,0.02857142857142857,False,False,,,,,,,,
easymock,6,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.19111953578317592,0.09040091869622828,0.10071861708694764,100,100,0,100,False,False,0,6.52325483399909,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed6_solution027,0.27510917030567683,2.291173271173271,0.6601037505205126,0.5654486841296784,0.7248908296943232,2.634920634920635,11,9.545454545454545,25,2,0.23809523809523808,0.0,False,False,,,,,,,,
easymock,7,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.20007018787411154,0.09040091869622828,0.10966926917788326,100,100,0,100,False,False,0,6.5973587080370635,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed7_solution026,0.27729257641921395,1.9535614217432398,0.689671123437397,0.5667856363447598,0.722707423580786,2.606299212598425,11,9.545454545454545,27,1,0.2571428571428571,0.009523809523809525,False,False,,,,,,,,
easymock,8,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.18880762324469152,0.09040091869622828,0.09840670454846324,100,100,1,99,False,False,0,6.5811958339763805,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed8_solution024,0.28457059679767105,1.9971730289912109,0.7110402459020988,0.5553659244569022,0.715429403202329,2.5140664961636827,11,9.545454545454545,28,2,0.26666666666666666,0.0,False,False,,,,,,,,
easymock,9,formal,not_required,theoretical,105,62.0,3.0993086786756634,exact_extreme_allocation_over_cluster_count,False,0.18367002493056012,0.09040091869622828,0.09326910623433184,100,100,0,100,False,False,0,6.574323125067167,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed9_solution026,0.3042212518195051,1.9864782692055416,0.6179477408574603,0.551649578679956,0.6957787481804949,2.287081339712919,11,9.545454545454545,25,1,0.23809523809523808,0.009523809523809525,False,False,,,,,,,,
