class_id,class_name,cluster_id
org.jfree.chart.ChartColor,org.jfree.chart.ChartColor,4
org.jfree.chart.ChartFactory,org.jfree.chart.ChartFactory,8
org.jfree.chart.ChartFrame,org.jfree.chart.ChartFrame,1
org.jfree.chart.ChartHints,org.jfree.chart.ChartHints,9
org.jfree.chart.ChartHints$Key,org.jfree.chart.ChartHints$Key,9
org.jfree.chart.ChartMouseEvent,org.jfree.chart.ChartMouseEvent,1
org.jfree.chart.ChartMouseListener,org.jfree.chart.ChartMouseListener,1
org.jfree.chart.ChartPanel,org.jfree.chart.ChartPanel,1
org.jfree.chart.ChartRenderingInfo,org.jfree.chart.ChartRenderingInfo,1
org.jfree.chart.ChartTheme,org.jfree.chart.ChartTheme,8
org.jfree.chart.ChartTransferable,org.jfree.chart.ChartTransferable,1
org.jfree.chart.ChartUtilities,org.jfree.chart.ChartUtilities,1
org.jfree.chart.ClipPath,org.jfree.chart.ClipPath,3
org.jfree.chart.DrawableLegendItem,org.jfree.chart.DrawableLegendItem,0
org.jfree.chart.Effect3D,org.jfree.chart.Effect3D,3
org.jfree.chart.HashUtilities,org.jfree.chart.HashUtilities,5
org.jfree.chart.JFreeChart,org.jfree.chart.JFreeChart,1
org.jfree.chart.JFreeChart$1,org.jfree.chart.JFreeChart$1,1
org.jfree.chart.JFreeChartInfo,org.jfree.chart.JFreeChartInfo,1
org.jfree.chart.LegendItem,org.jfree.chart.LegendItem,0
org.jfree.chart.LegendItemCollection,org.jfree.chart.LegendItemCollection,4
org.jfree.chart.LegendItemSource,org.jfree.chart.LegendItemSource,1
org.jfree.chart.LegendRenderingOrder,org.jfree.chart.LegendRenderingOrder,10
org.jfree.chart.MouseWheelHandler,org.jfree.chart.MouseWheelHandler,1
org.jfree.chart.PaintMap,org.jfree.chart.PaintMap,8
org.jfree.chart.PolarChartPanel,org.jfree.chart.PolarChartPanel,1
org.jfree.chart.StandardChartTheme,org.jfree.chart.StandardChartTheme,4
org.jfree.chart.StandardChartTheme$1,org.jfree.chart.StandardChartTheme$1,4
org.jfree.chart.StrokeMap,org.jfree.chart.StrokeMap,8
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.annotations.AbstractAnnotation,4
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.AbstractXYAnnotation,4
org.jfree.chart.annotations.Annotation,org.jfree.chart.annotations.Annotation,4
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryAnnotation,4
org.jfree.chart.annotations.CategoryLineAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation,4
org.jfree.chart.annotations.CategoryPointerAnnotation,org.jfree.chart.annotations.CategoryPointerAnnotation,4
org.jfree.chart.annotations.CategoryTextAnnotation,org.jfree.chart.annotations.CategoryTextAnnotation,4
org.jfree.chart.annotations.TextAnnotation,org.jfree.chart.annotations.TextAnnotation,4
org.jfree.chart.annotations.XYAnnotation,org.jfree.chart.annotations.XYAnnotation,4
org.jfree.chart.annotations.XYAnnotationBoundsInfo,org.jfree.chart.annotations.XYAnnotationBoundsInfo,4
org.jfree.chart.annotations.XYBoxAnnotation,org.jfree.chart.annotations.XYBoxAnnotation,4
org.jfree.chart.annotations.XYDataImageAnnotation,org.jfree.chart.annotations.XYDataImageAnnotation,4
org.jfree.chart.annotations.XYDrawableAnnotation,org.jfree.chart.annotations.XYDrawableAnnotation,4
org.jfree.chart.annotations.XYImageAnnotation,org.jfree.chart.annotations.XYImageAnnotation,4
org.jfree.chart.annotations.XYLineAnnotation,org.jfree.chart.annotations.XYLineAnnotation,4
org.jfree.chart.annotations.XYPointerAnnotation,org.jfree.chart.annotations.XYPointerAnnotation,4
org.jfree.chart.annotations.XYPolygonAnnotation,org.jfree.chart.annotations.XYPolygonAnnotation,4
org.jfree.chart.annotations.XYShapeAnnotation,org.jfree.chart.annotations.XYShapeAnnotation,4
org.jfree.chart.annotations.XYTextAnnotation,org.jfree.chart.annotations.XYTextAnnotation,4
org.jfree.chart.annotations.XYTitleAnnotation,org.jfree.chart.annotations.XYTitleAnnotation,4
org.jfree.chart.axis.Axis,org.jfree.chart.axis.Axis,3
org.jfree.chart.axis.AxisCollection,org.jfree.chart.axis.AxisCollection,4
org.jfree.chart.axis.AxisLabelLocation,org.jfree.chart.axis.AxisLabelLocation,3
org.jfree.chart.axis.AxisLocation,org.jfree.chart.axis.AxisLocation,4
