class_id,class_name,cluster_id
org.jfree.chart.ChartColor,org.jfree.chart.ChartColor,6
org.jfree.chart.ChartFactory,org.jfree.chart.ChartFactory,3
org.jfree.chart.ChartFrame,org.jfree.chart.ChartFrame,3
org.jfree.chart.ChartHints,org.jfree.chart.ChartHints,11
org.jfree.chart.ChartHints$Key,org.jfree.chart.ChartHints$Key,11
org.jfree.chart.ChartMouseEvent,org.jfree.chart.ChartMouseEvent,3
org.jfree.chart.ChartMouseListener,org.jfree.chart.ChartMouseListener,3
org.jfree.chart.ChartPanel,org.jfree.chart.ChartPanel,3
org.jfree.chart.ChartRenderingInfo,org.jfree.chart.ChartRenderingInfo,3
org.jfree.chart.ChartTheme,org.jfree.chart.ChartTheme,3
org.jfree.chart.ChartTransferable,org.jfree.chart.ChartTransferable,3
org.jfree.chart.ChartUtilities,org.jfree.chart.ChartUtilities,3
org.jfree.chart.ClipPath,org.jfree.chart.ClipPath,1
org.jfree.chart.DrawableLegendItem,org.jfree.chart.DrawableLegendItem,0
org.jfree.chart.Effect3D,org.jfree.chart.Effect3D,1
org.jfree.chart.HashUtilities,org.jfree.chart.HashUtilities,8
org.jfree.chart.JFreeChart,org.jfree.chart.JFreeChart,3
org.jfree.chart.JFreeChart$1,org.jfree.chart.JFreeChart$1,3
org.jfree.chart.JFreeChartInfo,org.jfree.chart.JFreeChartInfo,3
org.jfree.chart.LegendItem,org.jfree.chart.LegendItem,0
org.jfree.chart.LegendItemCollection,org.jfree.chart.LegendItemCollection,1
org.jfree.chart.LegendItemSource,org.jfree.chart.LegendItemSource,7
org.jfree.chart.LegendRenderingOrder,org.jfree.chart.LegendRenderingOrder,12
org.jfree.chart.MouseWheelHandler,org.jfree.chart.MouseWheelHandler,3
org.jfree.chart.PaintMap,org.jfree.chart.PaintMap,3
org.jfree.chart.PolarChartPanel,org.jfree.chart.PolarChartPanel,3
org.jfree.chart.StandardChartTheme,org.jfree.chart.StandardChartTheme,6
org.jfree.chart.StandardChartTheme$1,org.jfree.chart.StandardChartTheme$1,6
org.jfree.chart.StrokeMap,org.jfree.chart.StrokeMap,3
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.annotations.AbstractAnnotation,6
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.AbstractXYAnnotation,1
org.jfree.chart.annotations.Annotation,org.jfree.chart.annotations.Annotation,1
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryAnnotation,1
org.jfree.chart.annotations.CategoryLineAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation,6
org.jfree.chart.annotations.CategoryPointerAnnotation,org.jfree.chart.annotations.CategoryPointerAnnotation,6
org.jfree.chart.annotations.CategoryTextAnnotation,org.jfree.chart.annotations.CategoryTextAnnotation,6
org.jfree.chart.annotations.TextAnnotation,org.jfree.chart.annotations.TextAnnotation,6
org.jfree.chart.annotations.XYAnnotation,org.jfree.chart.annotations.XYAnnotation,1
org.jfree.chart.annotations.XYAnnotationBoundsInfo,org.jfree.chart.annotations.XYAnnotationBoundsInfo,7
org.jfree.chart.annotations.XYBoxAnnotation,org.jfree.chart.annotations.XYBoxAnnotation,1
org.jfree.chart.annotations.XYDataImageAnnotation,org.jfree.chart.annotations.XYDataImageAnnotation,1
org.jfree.chart.annotations.XYDrawableAnnotation,org.jfree.chart.annotations.XYDrawableAnnotation,1
org.jfree.chart.annotations.XYImageAnnotation,org.jfree.chart.annotations.XYImageAnnotation,1
org.jfree.chart.annotations.XYLineAnnotation,org.jfree.chart.annotations.XYLineAnnotation,1
