source,target,type_weight,call_weight,return_flow_weight,argument_flow_weight,ssa_flow_weight,g_ssa_weight
org.jfree.chart.ChartColor,org.jfree.chart.plot.DefaultDrawingSupplier,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.ChartTheme,3.0,76.0,0.0,0.0,0.0,79.0
org.jfree.chart.ChartFactory,org.jfree.chart.ChartUtilities,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.JFreeChart,58.0,96.0,0.0,0.0,0.0,154.0
org.jfree.chart.ChartFactory,org.jfree.chart.StandardChartTheme,0.0,4.0,0.0,0.0,0.0,4.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.Axis,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.CategoryAxis,0.0,22.0,0.0,0.0,0.0,22.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.CategoryAxis3D,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.DateAxis,0.0,20.0,0.0,0.0,0.0,20.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.NumberAxis,0.0,90.0,0.0,0.0,0.0,90.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.NumberAxis3D,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.Timeline,1.0,0.0,0.0,0.0,0.0,1.0
org.jfree.chart.ChartFactory,org.jfree.chart.axis.ValueAxis,0.0,12.0,0.0,0.0,0.0,12.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.HighLowItemLabelGenerator,0.0,4.0,0.0,0.0,0.0,4.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.IntervalCategoryToolTipGenerator,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.ItemLabelPosition,0.0,12.0,0.0,0.0,0.0,12.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.StandardCategoryToolTipGenerator,0.0,18.0,0.0,0.0,0.0,18.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.StandardPieSectionLabelGenerator,0.0,12.0,0.0,0.0,0.0,12.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.StandardPieToolTipGenerator,0.0,20.0,0.0,0.0,0.0,20.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.StandardXYToolTipGenerator,0.0,22.0,0.0,0.0,0.0,22.0
org.jfree.chart.ChartFactory,org.jfree.chart.labels.StandardXYZToolTipGenerator,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.CategoryPlot,0.0,52.0,0.0,0.0,0.0,52.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.Marker,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.MultiplePiePlot,0.0,18.0,0.0,0.0,0.0,18.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.PiePlot,0.0,72.0,0.0,0.0,0.0,72.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.PiePlot3D,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.Plot,0.0,28.0,0.0,0.0,0.0,28.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.PlotOrientation,19.0,0.0,0.0,48.0,12.0,31.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.PolarPlot,0.0,8.0,0.0,0.0,0.0,8.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.RingPlot,0.0,4.0,0.0,0.0,0.0,4.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.ValueMarker,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.WaferMapPlot,0.0,4.0,0.0,0.0,0.0,4.0
org.jfree.chart.ChartFactory,org.jfree.chart.plot.XYPlot,0.0,76.0,0.0,0.0,0.0,76.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.AbstractRenderer,0.0,16.0,0.0,0.0,0.0,16.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.DefaultPolarItemRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.WaferMapRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,0.0,34.0,0.0,0.0,0.0,34.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.AreaRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.BarRenderer,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.BarRenderer3D,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.CategoryItemRenderer,0.0,8.0,0.0,0.0,0.0,8.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.GanttRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.GradientBarPainter,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.LineAndShapeRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.LineRenderer3D,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.StackedAreaRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.StackedBarRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.StackedBarRenderer3D,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.StandardBarPainter,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.category.WaterfallBarRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,0.0,16.0,0.0,0.0,0.0,16.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.CandlestickRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.GradientXYBarPainter,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.HighLowRenderer,0.0,4.0,0.0,0.0,0.0,4.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.StandardXYBarPainter,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.WindItemRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYAreaRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYAreaRenderer2,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYBarRenderer,0.0,8.0,0.0,0.0,0.0,8.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYBubbleRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYItemRenderer,0.0,16.0,0.0,0.0,0.0,16.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYStepAreaRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.renderer.xy.XYStepRenderer,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.title.TextTitle,0.0,6.0,0.0,0.0,0.0,6.0
org.jfree.chart.ChartFactory,org.jfree.chart.title.Title,0.0,2.0,0.0,0.0,0.0,2.0
org.jfree.chart.ChartFactory,org.jfree.chart.urls.StandardCategoryURLGenerator,0.0,20.0,0.0,0.0,0.0,20.0
org.jfree.chart.ChartFactory,org.jfree.chart.urls.StandardPieURLGenerator,0.0,12.0,0.0,0.0,0.0,12.0
org.jfree.chart.ChartFactory,org.jfree.chart.urls.StandardXYURLGenerator,0.0,20.0,0.0,0.0,0.0,20.0
