subject,seed,run_type,calibration_status,bounds_source,class_count,max_raw_edge_weight,imbalance_upper_bound,imbalance_bound_method,calibration_bound_violation,hypervolume,hv_leiden_only,hv_gain_over_leiden,n_solutions,n_non_leiden_partitions,n_injected_seed_solutions,n_non_injected_solutions,exact_leiden_present_in_front,leiden_dominated_by_front,n_solutions_dominating_leiden,runtime_sec,front_source,final_population_size,result_opt_size,feasible_population_size,constraint_violating_population_size,recomputed_nondominated_size,n_unique_objective_vectors,n_unique_canonical_partitions,front_validation_passed,has_feasible_solution,used_infeasible_fallback,solution_id,coupling,cohesion,imbalance,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,maximum_cluster_size,minimum_cluster_size,max_cluster_ratio,singleton_ratio,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
jfreechart,0,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.15557008090773586,0.07315668841270123,0.08241339249503463,100,99,1,99,True,False,0,48.33629908307921,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed0_solution035,0.36990649102450346,0.7429322331043765,1.1100005334243621,0.49509425557999315,0.6300935089754965,1.7033859212104439,21,30.238095238095237,92,1,0.14488188976377953,0.009448818897637795,False,False,,,,,,,,
jfreechart,1,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.13719551892347268,0.07315668841270123,0.06403883051077144,100,100,1,99,False,False,0,48.378126750001684,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed1_solution034,0.3787454781243601,0.8216624659601599,1.1015227399852865,0.48707471187255574,0.6212545218756399,1.6402955487475221,21,30.238095238095237,95,1,0.14960629921259844,0.009448818897637795,False,False,,,,,,,,
jfreechart,2,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.13429082941316656,0.07315668841270123,0.061134141000465325,100,100,0,100,False,False,0,48.952596458024345,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed2_solution055,0.5616681455190772,1.5280003732743181,0.8330187680001788,0.31599483062338135,0.4383318544809228,0.7804107424960506,19,33.421052631578945,89,2,0.14015748031496064,0.0,False,False,,,,,,,,
jfreechart,3,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.12653688223269546,0.07315668841270123,0.05338019381999423,100,100,0,100,False,False,0,49.69456949993037,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed3_solution031,0.3680294860419084,0.774243572946259,1.0122297610810398,0.4846088089659176,0.6319705139580916,1.717173590504451,19,33.421052631578945,92,1,0.14488188976377953,0.006299212598425197,False,False,,,,,,,,
jfreechart,4,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.13025486134792535,0.07315668841270123,0.05709817293522412,100,100,0,100,False,False,0,49.47219999996014,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed4_solution034,0.3754692512456488,0.732378651634273,1.0970219354754278,0.4894292990348615,0.6245307487543512,1.6633339392837665,21,30.238095238095237,91,1,0.14330708661417324,0.009448818897637795,False,False,,,,,,,,
jfreechart,5,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.13935766139852349,0.07315668841270123,0.06620097298582225,100,100,2,98,False,True,1,49.85095812496729,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed5_solution028,0.34093235956589996,0.7210022059525736,1.178323239561757,0.5202701933071597,0.6590676404341,1.9331331331331332,21,30.238095238095237,96,1,0.15118110236220472,0.014173228346456693,False,False,,,,,,,,
jfreechart,6,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.12638901555162702,0.07315668841270123,0.053232327138925783,100,100,1,99,False,False,0,49.57848650007509,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed6_solution035,0.3888813050303734,0.7861193672387733,1.0562633342990104,0.47548890353824763,0.6111186949696267,1.5714787187362877,20,31.75,90,1,0.14173228346456693,0.0031496062992125984,False,False,,,,,,,,
jfreechart,7,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.11963383492902618,0.07315668841270123,0.04647714651632495,100,100,0,100,False,True,1,48.48661024996545,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed7_solution028,0.3616817964644052,0.7642587390037302,1.0816444609526181,0.5013339539834547,0.6383182035355949,1.7648612945838837,20,31.75,94,1,0.14803149606299212,0.006299212598425197,False,False,,,,,,,,
jfreechart,8,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.11840251473234474,0.07315668841270123,0.04524582631964351,100,100,0,100,False,False,0,48.509079250041395,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed8_solution036,0.4084704115760016,1.0561850003596043,1.0119038530902111,0.45631288460514324,0.5915295884239984,1.4481577408304787,19,33.421052631578945,93,1,0.14645669291338584,0.004724409448818898,False,False,,,,,,,,
jfreechart,9,formal,not_required,theoretical,635,183.0,7.77694958720254,exact_extreme_allocation_over_cluster_count,False,0.13298545738863624,0.07315668841270123,0.059828768975935004,100,99,1,99,True,False,0,48.82263516599778,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed9_solution025,0.3634564193570405,0.5481097069160137,1.102851410010644,0.5005967950159419,0.6365435806429596,1.7513615023474178,20,31.75,92,1,0.14488188976377953,0.004724409448818898,False,False,,,,,,,,
