subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,cluster_size_distribution
jfreechart,0,seed0_solution000,0.11460833317210053,0.8206948331171934,4.577084126379901,117,5.427350427350428,254,1,0.4,0.13700787401574804,5.481186915880537,"{""1"": 87, ""10"": 1, ""2"": 12, ""205"": 1, ""254"": 1, ""3"": 8, ""4"": 4, ""5"": 3}"
jfreechart,0,seed0_solution001,0.11409097611065232,0.812845539553614,4.3431801604668125,117,5.427350427350428,252,1,0.3968503937007874,0.13385826771653545,5.433174026180276,"{""1"": 85, ""10"": 1, ""2"": 13, ""203"": 1, ""252"": 1, ""3"": 9, ""4"": 4, ""5"": 2, ""6"": 1}"
jfreechart,0,seed0_solution002,0.10614170260327545,0.8121971196505358,4.324731964383064,100,6.35,254,1,0.4,0.08818897637795275,5.053443684715023,"{""1"": 56, ""2"": 23, ""205"": 1, ""254"": 1, ""3"": 8, ""4"": 9, ""6"": 1, ""8"": 1}"
jfreechart,0,seed0_solution003,0.10124407598145091,0.8018224012012832,4.045978990873084,98,6.479591836734694,252,1,0.3968503937007874,0.07401574803149606,4.96578285046765,"{""1"": 47, ""2"": 25, ""204"": 1, ""252"": 1, ""3"": 19, ""4"": 3, ""5"": 1, ""8"": 1}"
jfreechart,0,seed0_solution004,0.09951932979588395,0.8011739812982049,4.029522828698936,93,6.827956989247312,253,1,0.3984251968503937,0.06299212598425197,4.759357875068313,"{""1"": 40, ""195"": 1, ""2"": 23, ""253"": 1, ""3"": 15, ""4"": 10, ""5"": 2, ""6"": 1}"
jfreechart,0,seed0_solution005,0.1021141630206925,0.7995017404955294,3.987574468085106,99,6.414141414141414,251,1,0.3952755905511811,0.06929133858267716,4.920594852709112,"{""1"": 44, ""198"": 1, ""2"": 33, ""251"": 1, ""3"": 9, ""4"": 8, ""5"": 2, ""7"": 1}"
jfreechart,0,seed0_solution006,0.09931206272524781,0.7978977544194935,3.9479905437352247,87,7.2988505747126435,252,1,0.3968503937007874,0.029921259842519685,4.611442044609848,"{""1"": 19, ""198"": 1, ""2"": 42, ""252"": 1, ""3"": 19, ""4"": 2, ""5"": 1, ""6"": 2}"
jfreechart,0,seed0_solution007,0.09701804225718826,0.7965326598866972,3.9147936933914793,85,7.470588235294118,252,1,0.3968503937007874,0.03622047244094488,4.538081575772826,"{""1"": 23, ""196"": 1, ""2"": 31, ""252"": 1, ""3"": 17, ""4"": 9, ""5"": 3}"
jfreechart,0,seed0_solution008,0.09702951490725852,0.7951334379905809,3.8812260536398466,82,7.7439024390243905,251,1,0.3952755905511811,0.03307086614173228,4.434050883967671,"{""1"": 21, ""195"": 1, ""2"": 31, ""251"": 1, ""3"": 13, ""4"": 10, ""5"": 4, ""7"": 1}"
jfreechart,0,seed0_solution009,0.0969184495684682,0.793188178281346,3.8353135313531355,82,7.7439024390243905,249,1,0.3921259842519685,0.03464566929133858,4.411382309502064,"{""1"": 22, ""195"": 1, ""2"": 28, ""249"": 1, ""3"": 14, ""4"": 11, ""5"": 4, ""7"": 1}"
jfreechart,0,seed0_solution010,0.09991097628852104,0.791277045935431,3.791039895356442,95,6.684210526315789,250,1,0.3937007874015748,0.05669291338582677,4.794594161789541,"{""1"": 36, ""197"": 1, ""2"": 33, ""250"": 1, ""3"": 17, ""4"": 3, ""5"": 3, ""8"": 1}"
jfreechart,0,seed0_solution011,0.09423570885854896,0.7870111255204423,3.6950809165197884,80,7.9375,248,1,0.3905511811023622,0.03937007874015748,4.326937513389406,"{""1"": 25, ""193"": 1, ""2"": 22, ""248"": 1, ""3"": 12, ""4"": 11, ""5"": 4, ""6"": 3, ""7"": 1}"
