metric,raw,ssa,delta
average_cluster_size,6.0,6.0,0.0
average_degree,4.416666666666667,5.0,0.583333333333333
cluster_count,4.0,4.0,0.0
density,0.19202898550724637,0.21739130434782608,0.025362318840579712
edge_count,53.0,60.0,7.0
internal_edge_weight_ratio,0.7481481481481481,0.6631762652705061,-0.08497188287764201
internal_external_edge_ratio,2.9705882352941178,1.9689119170984455,-1.0016763181956723
max_cluster_ratio,0.2916666666666667,0.3333333333333333,0.04166666666666663
max_cluster_size,7.0,8.0,1.0
min_cluster_size,4.0,4.0,0.0
modularity,0.44206980643194665,0.3874848094441852,-0.05458499698776148
node_count,24.0,24.0,0.0
singleton_ratio,0.0,0.0,0.0
