subject,seed,run_type,calibration_status,bounds_source,class_count,max_raw_edge_weight,imbalance_upper_bound,imbalance_bound_method,calibration_bound_violation,hypervolume,hv_leiden_only,hv_gain_over_leiden,n_solutions,n_non_leiden_partitions,n_injected_seed_solutions,n_non_injected_solutions,exact_leiden_present_in_front,leiden_dominated_by_front,n_solutions_dominating_leiden,runtime_sec,front_source,final_population_size,result_opt_size,feasible_population_size,constraint_violating_population_size,recomputed_nondominated_size,n_unique_objective_vectors,n_unique_canonical_partitions,front_validation_passed,has_feasible_solution,used_infeasible_fallback,solution_id,coupling,cohesion,imbalance,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,maximum_cluster_size,minimum_cluster_size,max_cluster_ratio,singleton_ratio,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
jpetstore,0,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.4078779663954913,0.20490460754415157,0.2029733588513397,100,99,2,98,True,False,0,6.715774791955482,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed0_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,1,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.4048514740565385,0.20490460754415157,0.1999468665123869,100,99,2,98,True,False,0,6.539124458038714,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed1_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,2,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.41042890000419896,0.20490460754415157,0.2055242924600474,91,90,2,89,True,False,0,6.614627417002339,recomputed_nondominated_front,100,91,100,0,91,88,91,True,True,False,seed2_solution001,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,3,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.39642942616537363,0.20490460754415157,0.19152481862122206,97,96,2,95,True,False,0,6.532831999997143,recomputed_nondominated_front,100,97,100,0,97,94,97,True,True,False,seed3_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,4,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.40378611234558714,0.20490460754415157,0.19888150480143557,100,99,1,99,True,False,0,6.53697687498061,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed4_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,5,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.3903894567039132,0.20490460754415157,0.1854848491597616,76,75,2,74,True,False,0,6.462092750007287,recomputed_nondominated_front,100,76,100,0,76,76,76,True,True,False,seed5_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,6,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.39815529664132226,0.20490460754415157,0.1932506890971707,98,97,3,95,True,False,0,6.53619220800465,recomputed_nondominated_front,100,98,100,0,98,97,98,True,True,False,seed6_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,7,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.38274836879224977,0.20490460754415157,0.1778437612480982,100,99,2,98,True,False,0,6.598774083016906,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed7_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,8,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.4091619364927285,0.20490460754415157,0.2042573289485769,91,90,3,88,True,False,0,6.524035249953158,recomputed_nondominated_front,100,91,100,0,91,91,91,True,True,False,seed8_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,9,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.40770511044770097,0.20490460754415157,0.2028005029035494,100,99,2,98,True,False,0,6.548827791993972,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed9_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
jpetstore,10,formal,not_required,theoretical,24,35.0,1.2909944487358056,exact_extreme_allocation_over_cluster_count,False,0.401120884994753,0.20490460754415157,0.19621627745060144,99,98,1,98,True,False,0,6.511162790993694,recomputed_nondominated_front,100,99,100,0,99,99,99,True,True,False,seed10_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,True,True,raw_leiden,,,,,,,
