subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
jpetstore,0,42000,48,0.20833333333333334,,0.22916666666666666
jpetstore,1,42001,48,0.25,,0.25
jpetstore,2,42002,48,0.3125,,0.29166666666666669
jpetstore,3,42003,48,0.20833333333333334,,0.25
jpetstore,4,42004,48,0.14583333333333334,,0.20833333333333334
jpetstore,5,42005,48,0.16666666666666666,,0.20833333333333334
jpetstore,6,42006,48,0.20833333333333334,,0.25
jpetstore,7,42007,48,0.125,,0.1875
jpetstore,8,42008,48,0.22916666666666666,,0.25
jpetstore,9,42009,48,0.20833333333333334,,0.25
jpetstore,10,42010,48,0.125,,0.14583333333333334
jpetstore,11,42011,48,0.22916666666666666,,0.25
jpetstore,12,42012,48,0.125,,0.125
jpetstore,13,42013,48,0.3125,,0.27083333333333331
jpetstore,14,42014,48,0.125,,0.20833333333333334
jpetstore,15,42015,48,0.10416666666666667,,0.16666666666666666
jpetstore,16,42016,48,0.1875,,0.27083333333333331
jpetstore,17,42017,48,0.20833333333333334,,0.25
jpetstore,18,42018,48,0.14583333333333334,,0.27083333333333331
jpetstore,19,42019,48,0.22916666666666666,,0.27083333333333331
jpetstore,20,42020,48,0.3125,,0.375
jpetstore,21,42021,48,0.125,,0.14583333333333334
jpetstore,22,42022,48,0.16666666666666666,,0.29166666666666669
jpetstore,23,42023,48,0.22916666666666666,,0.27083333333333331
jpetstore,24,42024,48,0.25,,0.25
jpetstore,25,42025,48,0.3125,,0.29166666666666669
jpetstore,26,42026,48,0.25,,0.35416666666666669
jpetstore,27,42027,48,0.25,,0.25
jpetstore,28,42028,48,0.14583333333333334,,0.20833333333333334
jpetstore,29,42029,48,0.1875,,0.20833333333333334
jpetstore,30,42030,48,0.1875,,0.29166666666666669
jpetstore,31,42031,48,0.16666666666666666,,0.16666666666666666
jpetstore,32,42032,48,0.10416666666666667,,0.14583333333333334
jpetstore,33,42033,48,0.14583333333333334,,0.16666666666666666
jpetstore,34,42034,48,0.125,,0.1875
jpetstore,35,42035,48,0.29166666666666669,,0.27083333333333331
jpetstore,36,42036,48,0.1875,,0.22916666666666666
jpetstore,37,42037,48,0.10416666666666667,,0.25
jpetstore,38,42038,48,0.25,,0.27083333333333331
jpetstore,39,42039,48,0.22916666666666666,,0.27083333333333331
jpetstore,40,42040,48,0.22916666666666666,,0.20833333333333334
jpetstore,41,42041,48,0.22916666666666666,,0.25
jpetstore,42,42042,48,0.25,,0.27083333333333331
jpetstore,43,42043,48,0.3125,,0.25
jpetstore,44,42044,48,0.16666666666666666,,0.27083333333333331
jpetstore,45,42045,48,0.25,,0.27083333333333331
jpetstore,46,42046,48,0.29166666666666669,,0.35416666666666669
jpetstore,47,42047,48,0.10416666666666667,,0.10416666666666667
jpetstore,48,42048,48,0.20833333333333334,,0.20833333333333334
jpetstore,49,42049,48,0.27083333333333331,,0.29166666666666669
jpetstore,50,42050,48,0.1875,,0.1875
jpetstore,51,42051,48,0.16666666666666666,,0.14583333333333334
jpetstore,52,42052,48,0.14583333333333334,,0.22916666666666666
jpetstore,53,42053,48,0.27083333333333331,,0.39583333333333331
jpetstore,54,42054,48,0.16666666666666666,,0.20833333333333334
jpetstore,55,42055,48,0.1875,,0.14583333333333334
jpetstore,56,42056,48,0.14583333333333334,,0.20833333333333334
jpetstore,57,42057,48,0.20833333333333334,,0.25
jpetstore,58,42058,48,0.20833333333333334,,0.25
jpetstore,59,42059,48,0.125,,0.27083333333333331
jpetstore,60,42060,48,0.25,,0.1875
jpetstore,61,42061,48,0.16666666666666666,,0.1875
jpetstore,62,42062,48,0.20833333333333334,,0.20833333333333334
jpetstore,63,42063,48,0.1875,,0.1875
jpetstore,64,42064,48,0.22916666666666666,,0.3125
jpetstore,65,42065,48,0.1875,,0.22916666666666666
jpetstore,66,42066,48,0.27083333333333331,,0.1875
jpetstore,67,42067,48,0.16666666666666666,,0.22916666666666666
jpetstore,68,42068,48,0.20833333333333334,,0.14583333333333334
jpetstore,69,42069,48,0.1875,,0.20833333333333334
jpetstore,70,42070,48,0.20833333333333334,,0.16666666666666666
jpetstore,71,42071,48,0.1875,,0.25
jpetstore,72,42072,48,0.1875,,0.27083333333333331
jpetstore,73,42073,48,0.1875,,0.22916666666666666
jpetstore,74,42074,48,0.20833333333333334,,0.25
jpetstore,75,42075,48,0.20833333333333334,,0.20833333333333334
jpetstore,76,42076,48,0.16666666666666666,,0.14583333333333334
jpetstore,77,42077,48,0.16666666666666666,,0.20833333333333334
jpetstore,78,42078,48,0.16666666666666666,,0.20833333333333334
jpetstore,79,42079,48,0.3125,,0.29166666666666669
jpetstore,80,42080,48,0.29166666666666669,,0.3125
jpetstore,81,42081,48,0.22916666666666666,,0.22916666666666666
jpetstore,82,42082,48,0.25,,0.29166666666666669
jpetstore,83,42083,48,0.1875,,0.14583333333333334
jpetstore,84,42084,48,0.1875,,0.3125
jpetstore,85,42085,48,0.14583333333333334,,0.20833333333333334
jpetstore,86,42086,48,0.20833333333333334,,0.25
jpetstore,87,42087,48,0.22916666666666666,,0.25
jpetstore,88,42088,48,0.22916666666666666,,0.25
jpetstore,89,42089,48,0.10416666666666667,,0.22916666666666666
jpetstore,90,42090,48,0.27083333333333331,,0.25
jpetstore,91,42091,48,0.14583333333333334,,0.25
jpetstore,92,42092,48,0.10416666666666667,,0.1875
jpetstore,93,42093,48,0.16666666666666666,,0.25
jpetstore,94,42094,48,0.1875,,0.27083333333333331
jpetstore,95,42095,48,0.16666666666666666,,0.22916666666666666
jpetstore,96,42096,48,0.1875,,0.1875
jpetstore,97,42097,48,0.16666666666666666,,0.27083333333333331
jpetstore,98,42098,48,0.29166666666666669,,0.22916666666666666
jpetstore,99,42099,48,0.25,,0.29166666666666669
jpetstore,100,42100,48,0.10416666666666667,,0.25
jpetstore,101,42101,48,0.20833333333333334,,0.27083333333333331
jpetstore,102,42102,48,0.20833333333333334,,0.22916666666666666
jpetstore,103,42103,48,0.16666666666666666,,0.20833333333333334
jpetstore,104,42104,48,0.20833333333333334,,0.3125
jpetstore,105,42105,48,0.14583333333333334,,0.3125
jpetstore,106,42106,48,0.35416666666666669,,0.29166666666666669
jpetstore,107,42107,48,0.16666666666666666,,0.20833333333333334
jpetstore,108,42108,48,0.22916666666666666,,0.29166666666666669
jpetstore,109,42109,48,0.16666666666666666,,0.083333333333333329
jpetstore,110,42110,48,0.20833333333333334,,0.20833333333333334
jpetstore,111,42111,48,0.20833333333333334,,0.22916666666666666
jpetstore,112,42112,48,0.16666666666666666,,0.16666666666666666
jpetstore,113,42113,48,0.14583333333333334,,0.22916666666666666
jpetstore,114,42114,48,0.125,,0.22916666666666666
