rank,class_id_a,class_name_a,class_id_b,class_name_b,weight,selected_by,overlaps_G_raw,same_package,same_Leiden_cluster,same_reference_service,duplicate_text_pair
1,org.mybatis.jpetstore.domain.Category,Category,org.mybatis.jpetstore.domain.Product,Product,0.83767322003103628,both,false,true,true,,false
2,org.mybatis.jpetstore.mapper.CategoryMapper,CategoryMapper,org.mybatis.jpetstore.mapper.ProductMapper,ProductMapper,0.82084958065968483,both,false,true,true,,false
3,org.mybatis.jpetstore.web.actions.CartActionBean,CartActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,CatalogActionBean,0.81618301364302681,both,false,true,false,,false
4,org.mybatis.jpetstore.domain.Cart,Cart,org.mybatis.jpetstore.domain.CartItem,CartItem,0.81196855193719097,both,true,true,true,,false
5,org.mybatis.jpetstore.web.actions.CartActionBean,CartActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,OrderActionBean,0.77684882940959299,both,true,true,false,,false
6,org.mybatis.jpetstore.mapper.AccountMapper,AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper,OrderMapper,0.77582806454861453,both,false,true,false,,false
7,org.mybatis.jpetstore.domain.CartItem,CartItem,org.mybatis.jpetstore.domain.LineItem,LineItem,0.77549063676445351,both,true,true,false,,false
8,org.mybatis.jpetstore.mapper.OrderMapper,OrderMapper,org.mybatis.jpetstore.service.OrderService,OrderService,0.75916172732423637,both,true,false,true,,false
9,org.mybatis.jpetstore.web.actions.AccountActionBean,AccountActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,OrderActionBean,0.75606106250451166,both,true,true,true,,false
10,org.mybatis.jpetstore.mapper.LineItemMapper,LineItemMapper,org.mybatis.jpetstore.mapper.OrderMapper,OrderMapper,0.75601713603617771,both,false,true,true,,false
