class_id,input_hash,embedding_sha256
org.mybatis.jpetstore.domain.Account,5d95274200b9ab99375a7bc37b5349cfc93695abe59b0a2cd0e43d862583d31f,bc8576cde3271eb1f043a71f0e52082975fef66e4aa2f92cc31172454818aaaf
org.mybatis.jpetstore.domain.Cart,ae327ae131da8459f0c754810733634f4636c2e170a0d8a931f5f11d9f3369e3,0c44f05e40e7fc70097c87e8139e8e692654ad560a3ed6b83a85a0a15f645ef3
org.mybatis.jpetstore.domain.CartItem,2a2403051db0607a20d67d1c4b1b8f2b126034d4f2c5720a4b43e8876ca8d6d1,ecce1309485d907f1b0ccf0e0a13586ce80aa24d2ce676bb800c71608f52dae9
org.mybatis.jpetstore.domain.Category,bfbe27d957dd8236c5c66e052c5909fa3d85ec699939aa80457af01b52fe5a27,443ffcb97fa4235a0d4d4214ec5a9200debf9f711414391fd4c2e3dfc124dad5
org.mybatis.jpetstore.domain.Item,8f2e7798981f368cf27f4eee7ac74d9d8293982b71e3119e5316d51fbf6220cb,db0183a4feea6d905e8b646e4d45ff0a2ceb2f6550ba81fb9345908179a03b6f
org.mybatis.jpetstore.domain.LineItem,315d9fdaf0eeb121799f5e34b58d0d8a954a0b265d3cda69ab98d8697da46a15,8bbe9e53cfffaa5b34e21f7dc624cd7437c4cffae47ef35e5a9c3df3ccc2aa12
org.mybatis.jpetstore.domain.Order,006b4b1ce25257b9bbce3209473d2582368b7b0f284062a709753303e6921bd1,76d49105d1b38294821cd551cb24440269941bf95890952e08037717bc25084b
org.mybatis.jpetstore.domain.Product,e5296ac04efff722891302a63489b01a32f0c86595bc4287e74ced19fe8192c5,c8bec2b21104f40255c69921c675070c1feecef6d13a8e16a3db651bf5e1e958
org.mybatis.jpetstore.domain.Sequence,51ff6ed36b9c0f4048b21eba64728837120caf4dfe3e6e7b0fc62550ba24a089,98e91c8520ee118c8098aeadcb6dac7f44427346a35900516e4d23c7d8d14577
org.mybatis.jpetstore.mapper.AccountMapper,fbf942adc8a5c6036a7bf5498e0ad11c4e470a5bfad8f8846740138145f27ea5,218ed110cb73c6cda59aecb69e88815e58fe35e428acc7c505e862fee0820f1b
org.mybatis.jpetstore.mapper.CategoryMapper,77045e6e50f73c3cbd199dc5537096c548999d9dabbdce2d12d5ea9ef68c1fd9,f6193ce69790869939e3820414a3614b220d502404abe36a71909b10d63712e9
org.mybatis.jpetstore.mapper.ItemMapper,46865703180302cba3a502392172882bd12eef02a25d68b8fadea2e950037bdb,e8e5dabbc449957f30df06f51ba2ca16d6eb83f86e0ba86f1a6c1dc518fe7e40
org.mybatis.jpetstore.mapper.LineItemMapper,40f209695f43ebed808ee266c5265e0d032ff7607933101edec189de1634a1b4,8ca321227555dd259bc9088ea0bcb1f9bbc1c487a2154383efdfcb904ac5fa6c
org.mybatis.jpetstore.mapper.OrderMapper,be60bbfe64991d122c53390240b91317703e08e794a236aecd63b3a482beec75,86ca72fbdb430f7e2e2a6e765cd14577733c758df992e9f3c6b2eb2d85d02665
org.mybatis.jpetstore.mapper.ProductMapper,afd68148ad4082277eb3d9d64fa5785aa184223a17b106720118f27a4211c9aa,5f04e7847fcae497ab453b2bd8a003bb0cd86a295936fec196634b2573cd455b
org.mybatis.jpetstore.mapper.SequenceMapper,397e1f58a092b8af9680028ce2121bbe684304b6880a2851792711c9bccc3bcb,3d4496d19e0a86fc844f281381fdb82f89406e405589568277ee40a37b537eb4
org.mybatis.jpetstore.service.AccountService,425e493934670a393d66391ffdcbb23d857c4daae14039582ee91b123d4f6299,f7c0a1d49bc6b38891b96689579899cd2d070e1ebe2e1afb31b61f9a4d5423d2
org.mybatis.jpetstore.service.CatalogService,2eaf41eb5323e93cf5fab878ed1def36c1e531e07ad02f6d860ef4365b2a6386,44e03b818bfe2f45f5c6e3934e03fe7da06c717a74fc8fdcea61ee7351bb3b19
org.mybatis.jpetstore.service.OrderService,2bdfcfd59cb9af71af2221693d603d5e818fbee3f623d987031eb7be80349e6f,f2e1088e9c4b69dda25e554f4cf7148b3568441c2612c742d978f3bdc9af71f0
org.mybatis.jpetstore.web.actions.AbstractActionBean,32836c8944cdd4e745f8b640658a41d2be7ab3cca756bc15792a5fc76df648fa,e6c26ccac8b11a14f0d13f8acac4bedc65a911d9ee6e97679d36be6f2f3dc8ea
org.mybatis.jpetstore.web.actions.AccountActionBean,384028f5517a4c1b4b78fa9411c0c5f9002cf3bcd068ce35596462980f06fe10,10756f34db7750d908df0fa6e9f84bcb64adba87d32cac28379006a546ea40be
org.mybatis.jpetstore.web.actions.CartActionBean,1a7a603e8314ecee38ebe10eaa92d39aed7e4635ea39e2c2aedb544d148ee8e2,f10d9f274b95cac573fbfac6feea8641e257b7f014aa7e038eb78db1f83b0321
org.mybatis.jpetstore.web.actions.CatalogActionBean,68da1c85a6cf5cc60a2f9f95190758306deab6f6ee927de687d1f4a5c52c9f55,6dba8bf7151d563d5455d67c8db78d19b18e6ee1ac3af2d55b088b706c5a5547
org.mybatis.jpetstore.web.actions.OrderActionBean,d36d1de8b4299553a0a5b42104e3e952a27d318675b564280279f283b851efda,f3d901fee12f010285336b2968b081ab146c83cc46e086cea6914f784604b5c6
