subject,seed,solution_id,original_solution_id,coupling,cohesion,imbalance,original_f_semantic,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,feasible,is_injected_seed,label_vector
jpetstore,2,seed2_solution000,seed2_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.598785638479621,0.2518518518518518,-5.477380952380952,0.20412414523193148,True,True,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution001,seed2_solution001,0.2518518518518518,4.969047619047619,0.16666666666666666,0.5522224138300366,0.2518518518518518,-4.969047619047619,0.16666666666666666,True,True,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution002,seed2_solution002,0.2617283950617284,6.559523809523809,0.28867513459481287,0.6172244425444505,0.2617283950617284,-6.559523809523809,0.28867513459481287,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution004,seed2_solution004,0.2740740740740741,4.758333333333333,0.11785113019775793,0.5972035411049261,0.2740740740740741,-4.758333333333333,0.11785113019775793,True,False,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 3, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution005,seed2_solution005,0.27901234567901234,7.9559523809523816,0.40824829046386296,0.6094267907938873,0.27901234567901234,-7.9559523809523816,0.40824829046386296,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution006,seed2_solution006,0.2814814814814815,7.967261904761905,0.39086797998528583,0.5713697135258033,0.2814814814814815,-7.967261904761905,0.39086797998528583,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution009,seed2_solution009,0.291358024691358,8.186904761904762,0.45643546458763845,0.5353324947117362,0.291358024691358,-8.186904761904762,0.45643546458763845,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 0, 2, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution015,seed2_solution015,0.3160493827160494,4.841666666666666,0.11785113019775793,0.6957606736347233,0.3160493827160494,-4.841666666666666,0.11785113019775793,True,False,"[0, 1, 1, 2, 1, 3, 0, 3, 3, 0, 2, 2, 3, 3, 1, 3, 0, 2, 3, 2, 0, 1, 2, 0]"
jpetstore,2,seed2_solution018,seed2_solution018,0.32592592592592595,9.58095238095238,0.4249182927993988,0.6172244425444505,0.32592592592592595,-9.58095238095238,0.4249182927993988,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution019,seed2_solution019,0.3333333333333333,6.501904761904761,0.27638539919628335,0.6219641318635104,0.3333333333333333,-6.501904761904761,0.27638539919628335,True,False,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 4, 2, 2, 4, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution020,seed2_solution020,0.3333333333333333,5.0738095238095235,0.16666666666666666,0.5033284443783983,0.3333333333333333,-5.0738095238095235,0.16666666666666666,True,False,"[0, 1, 1, 2, 1, 1, 0, 1, 3, 3, 2, 2, 3, 3, 1, 3, 3, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution021,seed2_solution021,0.33827160493827163,10.50047619047619,0.5000000000000001,0.554763648534861,0.33827160493827163,-10.50047619047619,0.5000000000000001,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 0, 2, 0]"
