subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,0.0,0.5,161,161,0,0.0,8,0.7358490566037735,0.07547169811320754,0.15215413137756845,0.8833025830258303,23.913043478260864,0.20748663101604276,1.0,-0.00439491260340535,0.28838529264773016,0.12847682119205298,0.5388888888888889
daytrader,0.25,0.5,161,169,8,0.08106389742502915,8,0.7547169811320755,0.07547169811320754,0.09052441477095394,0.9677863727879623,23.913043478260864,0.21649484536082475,1.0,0.004732670632733363,0.2962417047980292,0.13291139240506328,0.5833333333333334
daytrader,0.5,0.5,161,169,8,0.14997059400117624,9,0.660377358490566,0.07547169811320754,0.2023435560701468,0.8615957655361693,26.086956521739136,0.22138364779874214,1.0,0.024170870943016308,0.33038999761547855,0.14308943089430895,0.4888888888888889
daytrader,1.0,0.5,161,169,8,0.2608250937606546,9,0.660377358490566,0.07547169811320754,0.20368436390909675,0.8694169792021821,26.086956521739136,0.22138364779874214,1.0,0.024170870943016308,0.33038999761547855,0.14308943089430895,0.4888888888888889
daytrader,2.0,0.5,161,169,8,0.4137371552190373,9,0.6792452830188679,0.07547169811320754,0.1943898972183522,0.8826392644672796,26.086956521739136,0.21523579201934703,1.0,0.013636473928129455,0.3253926468974147,0.1375579598145286,0.49444444444444446
daytrader,3.0,0.5,161,169,8,0.5142280976921353,9,0.660377358490566,0.07547169811320754,0.20632474978247486,0.8872955411158414,26.086956521739136,0.22138364779874214,1.0,0.024170870943016308,0.33038999761547855,0.14308943089430895,0.4888888888888889
daytrader,4.0,0.5,161,169,8,0.58530986993114,9,0.5849056603773585,0.07547169811320754,0.2985986125266277,0.8026013771996939,23.913043478260864,0.197962154294032,1.0,0.006396515940253798,0.3122451452809015,0.1341222879684418,0.37777777777777777
daytrader,0.0,0.75,161,161,0,0.0,9,0.37735849056603776,0.07547169811320754,0.30746970782669064,0.6720479704797048,23.913043478260864,0.2071563088512241,1.0,0.04166129794270498,0.3443169128765905,0.15669515669515668,0.3055555555555556
daytrader,0.25,0.75,161,169,8,0.08106389742502915,9,0.37735849056603776,0.07547169811320754,0.30112863486292674,0.677121966726714,23.913043478260864,0.209009009009009,1.0,0.03945442131504153,0.3493789753786592,0.15466666666666667,0.32222222222222224
daytrader,0.5,0.75,161,169,8,0.14997059400117624,10,0.33962264150943394,0.07547169811320754,0.31533839803927777,0.6232111350715546,26.086956521739136,0.19153674832962136,1.0,0.04151896405700907,0.3939679474832429,0.15985130111524162,0.2388888888888889
daytrader,1.0,0.75,161,169,8,0.2608250937606546,9,0.37735849056603776,0.07547169811320754,0.3034586269160011,0.6778042959427207,23.913043478260864,0.20540540540540536,1.0,0.03507835945315106,0.33503783108860186,0.152,0.31666666666666665
daytrader,2.0,0.75,161,169,8,0.4137371552190373,11,0.37735849056603776,0.07547169811320754,0.32740334257536496,0.6822606814494321,23.913043478260864,0.1678004535147392,1.0,0.015595498094359393,0.4069511915627549,0.1417624521072797,0.20555555555555555
daytrader,3.0,0.75,161,169,8,0.5142280976921353,10,0.41509433962264153,0.07547169811320754,0.33423667871601315,0.6950481738740757,21.739130434782606,0.15353535353535352,1.0,-0.015248544952612042,0.35111173261937473,0.12063492063492064,0.2111111111111111
daytrader,4.0,0.75,161,169,8,0.58530986993114,11,0.33962264150943394,0.07547169811320754,0.3497495095855464,0.6790359602142311,23.913043478260864,0.16306954436450838,1.0,0.01713447208904039,0.39905269466519067,0.14345991561181434,0.18888888888888888
daytrader,0.0,1.0,161,161,0,0.0,11,0.24528301886792453,0.07547169811320754,0.324596763898912,0.5821033210332104,23.913043478260864,0.1775456919060052,1.0,0.04535797701311211,0.4210370859980581,0.16748768472906403,0.18888888888888888
daytrader,0.25,1.0,161,169,8,0.08106389742502915,11,0.24528301886792453,0.07547169811320754,0.325156018952318,0.5780438698739006,23.913043478260864,0.18041237113402062,1.0,0.046935082560506665,0.42215724069726573,0.16826923076923078,0.19444444444444445
daytrader,0.5,1.0,161,169,8,0.14997059400117624,12,0.2641509433962264,0.07547169811320754,0.3278497541198859,0.573416977063321,26.086956521739136,0.16893732970027248,1.0,0.04132242715656263,0.4491045852787916,0.1657754010695187,0.17222222222222222
daytrader,1.0,1.0,161,169,8,0.2608250937606546,12,0.2641509433962264,0.07547169811320754,0.3295751962019364,0.5346062052505967,23.913043478260864,0.17222222222222222,1.0,0.04784826562789834,0.4487278589181909,0.17222222222222222,0.17222222222222222
daytrader,2.0,1.0,161,169,8,0.4137371552190373,13,0.2641509433962264,0.07547169811320754,0.34391044550414035,0.5792320173066522,23.913043478260864,0.15517241379310345,1.0,0.03324551858427352,0.4568422484669376,0.16071428571428573,0.15
daytrader,3.0,1.0,161,169,8,0.5142280976921353,13,0.22641509433962265,0.07547169811320754,0.36043079129621475,0.5803271342146539,21.739130434782606,0.1345029239766082,1.0,0.012272493921870605,0.4365241985727467,0.1419753086419753,0.12777777777777777
daytrader,4.0,1.0,161,169,8,0.58530986993114,13,0.22641509433962265,0.07547169811320754,0.3717000749012585,0.5866488140780414,21.739130434782606,0.1345029239766082,1.0,0.012272493921870605,0.4365241985727467,0.1419753086419753,0.12777777777777777
