metric,raw,ssa,delta
average_cluster_size,4.818181818181818,4.416666666666667,-0.4015151515151514
average_degree,6.0754716981132075,6.377358490566038,0.3018867924528301
cluster_count,11.0,12.0,1.0
density,0.11683599419448476,0.12264150943396226,0.0058055152394775045
edge_count,161.0,169.0,8.0
internal_edge_weight_ratio,0.5821033210332104,0.5346062052505967,-0.04749711578261373
internal_external_edge_ratio,1.3929359823399559,1.1487179487179486,-0.24421803362200722
max_cluster_ratio,0.24528301886792453,0.2641509433962264,0.018867924528301883
max_cluster_size,13.0,14.0,1.0
min_cluster_size,1.0,1.0,0.0
modularity,0.324596763898912,0.3295751962019364,0.004978432303024416
node_count,53.0,53.0,0.0
singleton_ratio,0.07547169811320754,0.07547169811320754,0.0
