class_id,class_name,raw_cluster_id,ssa_cluster_id,raw_cluster_size,ssa_cluster_size,lost_same_cluster_neighbors,gained_same_cluster_neighbors,membership_jaccard
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,3,0,7,14,com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeAppServlet;com.ibm.websphere.samples.daytrader.web.TradeServletAction;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB;com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.util.MDBStats;com.ibm.websphere.samples.daytrader.util.TimerStat;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.0
com.ibm.websphere.samples.daytrader.util.FinancialUtils,com.ibm.websphere.samples.daytrader.util.FinancialUtils,1,2,12,7,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,0.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,2,1,8,9,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,0.0
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,2,3,8,6,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,0.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.TradeServices,3,3,7,6,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread;com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeAppServlet;com.ibm.websphere.samples.daytrader.web.TradeServletAction;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,0.0
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,1,6,12,3,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,,0.18181818181818182
com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,1,6,12,3,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,,0.18181818181818182
com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,1,6,12,3,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,,0.18181818181818182
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.TradeAction,0,3,13,6,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,0.21428571428571427
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,0,3,13,6,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,0.21428571428571427
