class_id,class_name,cluster_id
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,3
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,2
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,2
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,1
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,2
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,1
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,3
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,1
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,0
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,0
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,1
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,3
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,1
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,0
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,3
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,2
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,1
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
