subject,graph_type,resolution,cluster_count,weighted_modularity,internal_edge_weight_ratio,ari_vs_default_partition,nmi_vs_default_partition,cluster_size_distribution
xerces-j,G_raw,0.5,27,0.6186501011690424,0.9062832494608195,0.4930342476604346,0.8077333978920281,"{""1"": 11, ""100"": 1, ""11"": 3, ""16"": 1, ""173"": 1, ""2"": 1, ""23"": 1, ""298"": 1, ""35"": 1, ""37"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""62"": 1, ""9"": 1}"
xerces-j,G_raw,0.75,28,0.6533129948560393,0.8198705966930266,0.6124106490202426,0.825149833989971,"{""1"": 11, ""101"": 1, ""11"": 3, ""133"": 1, ""145"": 1, ""15"": 1, ""16"": 1, ""167"": 1, ""2"": 1, ""23"": 1, ""34"": 1, ""4"": 1, ""5"": 1, ""54"": 1, ""62"": 1, ""9"": 1}"
xerces-j,G_raw,1.0,31,0.6615191429343901,0.7912005751258088,1.0,0.9999999999999993,"{""1"": 11, ""100"": 1, ""11"": 4, ""112"": 1, ""118"": 1, ""16"": 1, ""2"": 1, ""23"": 1, ""34"": 1, ""4"": 1, ""46"": 2, ""5"": 1, ""55"": 1, ""56"": 1, ""62"": 1, ""71"": 1, ""9"": 1}"
xerces-j,G_raw,1.25,33,0.6616724071403083,0.7788353702372394,0.7776644632461418,0.8795537008584509,"{""1"": 11, ""100"": 1, ""11"": 3, ""119"": 1, ""14"": 1, ""16"": 1, ""2"": 1, ""23"": 1, ""25"": 2, ""32"": 1, ""35"": 1, ""36"": 1, ""4"": 1, ""45"": 1, ""46"": 1, ""5"": 1, ""70"": 1, ""78"": 1, ""86"": 1, ""9"": 1}"
xerces-j,G_raw,1.5,33,0.6584083308482818,0.7640546369518332,0.6703201335755176,0.8438658106255137,"{""1"": 11, ""11"": 3, ""115"": 1, ""15"": 1, ""16"": 1, ""2"": 1, ""23"": 1, ""24"": 1, ""30"": 1, ""33"": 1, ""34"": 1, ""35"": 1, ""4"": 1, ""43"": 1, ""46"": 1, ""5"": 1, ""73"": 1, ""84"": 2, ""9"": 1, ""95"": 1}"
xerces-j,G_ssa,0.5,27,0.5979836254768391,0.9162844632132782,0.4952433926175308,0.7952743068151147,"{""1"": 11, ""10"": 2, ""104"": 1, ""11"": 2, ""15"": 1, ""17"": 1, ""2"": 1, ""208"": 1, ""23"": 1, ""306"": 1, ""33"": 1, ""35"": 1, ""4"": 1, ""5"": 1, ""9"": 1}"
xerces-j,G_ssa,0.75,27,0.6214972511842491,0.8736392114782188,0.5131126823913896,0.7820106812185829,"{""1"": 11, ""10"": 1, ""108"": 1, ""11"": 2, ""146"": 1, ""17"": 1, ""2"": 1, ""23"": 1, ""236"": 1, ""33"": 1, ""35"": 1, ""4"": 1, ""5"": 1, ""64"": 1, ""89"": 1, ""9"": 1}"
xerces-j,G_ssa,1.0,30,0.6442682286279218,0.7852506966198792,1.0,0.9999999999999993,"{""1"": 11, ""104"": 1, ""11"": 3, ""112"": 1, ""15"": 1, ""153"": 1, ""17"": 1, ""2"": 1, ""23"": 1, ""31"": 1, ""32"": 1, ""35"": 1, ""4"": 1, ""44"": 1, ""5"": 1, ""88"": 1, ""9"": 1, ""96"": 1}"
xerces-j,G_ssa,1.25,32,0.6393591194851964,0.7491995361636581,0.7559796589689076,0.8803377655140991,"{""1"": 11, ""105"": 1, ""11"": 3, ""111"": 1, ""122"": 1, ""15"": 1, ""17"": 1, ""2"": 1, ""22"": 1, ""23"": 1, ""26"": 1, ""32"": 1, ""35"": 1, ""4"": 1, ""43"": 1, ""49"": 1, ""5"": 1, ""64"": 1, ""86"": 1, ""9"": 1}"
xerces-j,G_ssa,1.5,34,0.6337971232958883,0.7392132089513491,0.7313453795697795,0.8857116120645209,"{""1"": 11, ""104"": 1, ""11"": 3, ""15"": 1, ""17"": 1, ""18"": 1, ""2"": 1, ""23"": 2, ""31"": 1, ""32"": 1, ""35"": 1, ""4"": 1, ""5"": 1, ""59"": 1, ""6"": 1, ""66"": 2, ""71"": 1, ""87"": 1, ""9"": 1, ""97"": 1}"
