cluster_id,cluster_size,class_names
0,13,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList
1,12,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF
2,8,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF
3,7,com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.util.CompleteOrderThread;com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeAppServlet;com.ibm.websphere.samples.daytrader.web.TradeServletAction;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF
4,4,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB;com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB;com.ibm.websphere.samples.daytrader.util.MDBStats;com.ibm.websphere.samples.daytrader.util.TimerStat
5,3,com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder;com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder;com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage
6,2,com.ibm.websphere.samples.daytrader.util.KeyBlock;com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator
7,1,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage
8,1,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer
9,1,com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter
10,1,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1
