class_id,class_name,cluster_id
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.ASDOMImplementationImpl,3
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.ASModelImpl,3
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.AttrImpl,3
org.apache.xerces.dom.AttrNSImpl,org.apache.xerces.dom.AttrNSImpl,3
org.apache.xerces.dom.AttributeMap,org.apache.xerces.dom.AttributeMap,3
org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.dom.CDATASectionImpl,3
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom.CharacterDataImpl,3
org.apache.xerces.dom.CharacterDataImpl$1,org.apache.xerces.dom.CharacterDataImpl$1,3
org.apache.xerces.dom.ChildNode,org.apache.xerces.dom.ChildNode,3
org.apache.xerces.dom.CommentImpl,org.apache.xerces.dom.CommentImpl,3
org.apache.xerces.dom.CoreDOMImplementationImpl,org.apache.xerces.dom.CoreDOMImplementationImpl,3
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,3
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,3
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.CoreDocumentImpl,3
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.dom.DOMConfigurationImpl,0
org.apache.xerces.dom.DOMErrorImpl,org.apache.xerces.dom.DOMErrorImpl,7
org.apache.xerces.dom.DOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,3
org.apache.xerces.dom.DOMImplementationListImpl,org.apache.xerces.dom.DOMImplementationListImpl,3
org.apache.xerces.dom.DOMImplementationSourceImpl,org.apache.xerces.dom.DOMImplementationSourceImpl,3
org.apache.xerces.dom.DOMInputImpl,org.apache.xerces.dom.DOMInputImpl,1
org.apache.xerces.dom.DOMLocatorImpl,org.apache.xerces.dom.DOMLocatorImpl,7
org.apache.xerces.dom.DOMMessageFormatter,org.apache.xerces.dom.DOMMessageFormatter,3
org.apache.xerces.dom.DOMNormalizer,org.apache.xerces.dom.DOMNormalizer,3
org.apache.xerces.dom.DOMNormalizer$1,org.apache.xerces.dom.DOMNormalizer$1,3
org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,3
org.apache.xerces.dom.DOMOutputImpl,org.apache.xerces.dom.DOMOutputImpl,3
org.apache.xerces.dom.DOMStringListImpl,org.apache.xerces.dom.DOMStringListImpl,1
org.apache.xerces.dom.DOMXSImplementationSourceImpl,org.apache.xerces.dom.DOMXSImplementationSourceImpl,3
org.apache.xerces.dom.DeepNodeListImpl,org.apache.xerces.dom.DeepNodeListImpl,3
org.apache.xerces.dom.DeferredAttrImpl,org.apache.xerces.dom.DeferredAttrImpl,3
org.apache.xerces.dom.DeferredAttrNSImpl,org.apache.xerces.dom.DeferredAttrNSImpl,3
org.apache.xerces.dom.DeferredCDATASectionImpl,org.apache.xerces.dom.DeferredCDATASectionImpl,3
org.apache.xerces.dom.DeferredCommentImpl,org.apache.xerces.dom.DeferredCommentImpl,3
org.apache.xerces.dom.DeferredDOMImplementationImpl,org.apache.xerces.dom.DeferredDOMImplementationImpl,3
org.apache.xerces.dom.DeferredDocumentImpl,org.apache.xerces.dom.DeferredDocumentImpl,3
org.apache.xerces.dom.DeferredDocumentImpl$IntVector,org.apache.xerces.dom.DeferredDocumentImpl$IntVector,3
org.apache.xerces.dom.DeferredDocumentImpl$RefCount,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,3
org.apache.xerces.dom.DeferredDocumentTypeImpl,org.apache.xerces.dom.DeferredDocumentTypeImpl,3
org.apache.xerces.dom.DeferredElementDefinitionImpl,org.apache.xerces.dom.DeferredElementDefinitionImpl,3
org.apache.xerces.dom.DeferredElementImpl,org.apache.xerces.dom.DeferredElementImpl,3
org.apache.xerces.dom.DeferredElementNSImpl,org.apache.xerces.dom.DeferredElementNSImpl,3
org.apache.xerces.dom.DeferredEntityImpl,org.apache.xerces.dom.DeferredEntityImpl,3
org.apache.xerces.dom.DeferredEntityReferenceImpl,org.apache.xerces.dom.DeferredEntityReferenceImpl,3
org.apache.xerces.dom.DeferredNode,org.apache.xerces.dom.DeferredNode,3
org.apache.xerces.dom.DeferredNotationImpl,org.apache.xerces.dom.DeferredNotationImpl,3
org.apache.xerces.dom.DeferredProcessingInstructionImpl,org.apache.xerces.dom.DeferredProcessingInstructionImpl,3
org.apache.xerces.dom.DeferredTextImpl,org.apache.xerces.dom.DeferredTextImpl,3
org.apache.xerces.dom.DocumentFragmentImpl,org.apache.xerces.dom.DocumentFragmentImpl,3
org.apache.xerces.dom.DocumentImpl,org.apache.xerces.dom.DocumentImpl,3
org.apache.xerces.dom.DocumentImpl$EnclosingAttr,org.apache.xerces.dom.DocumentImpl$EnclosingAttr,3
org.apache.xerces.dom.DocumentImpl$LEntry,org.apache.xerces.dom.DocumentImpl$LEntry,3
org.apache.xerces.dom.DocumentTypeImpl,org.apache.xerces.dom.DocumentTypeImpl,3
org.apache.xerces.dom.ElementDefinitionImpl,org.apache.xerces.dom.ElementDefinitionImpl,3
org.apache.xerces.dom.ElementImpl,org.apache.xerces.dom.ElementImpl,3
org.apache.xerces.dom.ElementNSImpl,org.apache.xerces.dom.ElementNSImpl,3
org.apache.xerces.dom.EntityImpl,org.apache.xerces.dom.EntityImpl,3
org.apache.xerces.dom.EntityReferenceImpl,org.apache.xerces.dom.EntityReferenceImpl,3
org.apache.xerces.dom.LCount,org.apache.xerces.dom.LCount,3
org.apache.xerces.dom.NamedNodeMapImpl,org.apache.xerces.dom.NamedNodeMapImpl,3
org.apache.xerces.dom.NodeImpl,org.apache.xerces.dom.NodeImpl,3
org.apache.xerces.dom.NodeIteratorImpl,org.apache.xerces.dom.NodeIteratorImpl,3
org.apache.xerces.dom.NodeListCache,org.apache.xerces.dom.NodeListCache,3
org.apache.xerces.dom.NotationImpl,org.apache.xerces.dom.NotationImpl,3
org.apache.xerces.dom.ObjectFactory,org.apache.xerces.dom.ObjectFactory,3
org.apache.xerces.dom.ObjectFactory$ConfigurationError,org.apache.xerces.dom.ObjectFactory$ConfigurationError,3
org.apache.xerces.dom.PSVIAttrNSImpl,org.apache.xerces.dom.PSVIAttrNSImpl,6
org.apache.xerces.dom.PSVIDOMImplementationImpl,org.apache.xerces.dom.PSVIDOMImplementationImpl,3
org.apache.xerces.dom.PSVIDocumentImpl,org.apache.xerces.dom.PSVIDocumentImpl,3
org.apache.xerces.dom.PSVIElementNSImpl,org.apache.xerces.dom.PSVIElementNSImpl,6
org.apache.xerces.dom.ParentNode,org.apache.xerces.dom.ParentNode,3
org.apache.xerces.dom.ParentNode$1,org.apache.xerces.dom.ParentNode$1,3
org.apache.xerces.dom.ParentNode$UserDataRecord,org.apache.xerces.dom.ParentNode$UserDataRecord,3
org.apache.xerces.dom.ProcessingInstructionImpl,org.apache.xerces.dom.ProcessingInstructionImpl,3
org.apache.xerces.dom.RangeExceptionImpl,org.apache.xerces.dom.RangeExceptionImpl,3
org.apache.xerces.dom.RangeImpl,org.apache.xerces.dom.RangeImpl,3
org.apache.xerces.dom.SecuritySupport,org.apache.xerces.dom.SecuritySupport,3
org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.dom.SecuritySupport$1,3
org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.dom.SecuritySupport$2,3
org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.dom.SecuritySupport$3,3
org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.dom.SecuritySupport$4,3
org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.dom.SecuritySupport$5,3
org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.dom.SecuritySupport$6,3
org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.dom.SecuritySupport$7,3
org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.dom.SecuritySupport$8,3
org.apache.xerces.dom.TextImpl,org.apache.xerces.dom.TextImpl,3
org.apache.xerces.dom.TreeWalkerImpl,org.apache.xerces.dom.TreeWalkerImpl,3
org.apache.xerces.dom.events.EventImpl,org.apache.xerces.dom.events.EventImpl,3
org.apache.xerces.dom.events.MouseEventImpl,org.apache.xerces.dom.events.MouseEventImpl,3
org.apache.xerces.dom.events.MutationEventImpl,org.apache.xerces.dom.events.MutationEventImpl,3
org.apache.xerces.dom.events.UIEventImpl,org.apache.xerces.dom.events.UIEventImpl,3
org.apache.xerces.dom3.as.ASAttributeDeclaration,org.apache.xerces.dom3.as.ASAttributeDeclaration,3
org.apache.xerces.dom3.as.ASContentModel,org.apache.xerces.dom3.as.ASContentModel,3
org.apache.xerces.dom3.as.ASDataType,org.apache.xerces.dom3.as.ASDataType,3
org.apache.xerces.dom3.as.ASElementDeclaration,org.apache.xerces.dom3.as.ASElementDeclaration,3
org.apache.xerces.dom3.as.ASEntityDeclaration,org.apache.xerces.dom3.as.ASEntityDeclaration,3
org.apache.xerces.dom3.as.ASModel,org.apache.xerces.dom3.as.ASModel,3
org.apache.xerces.dom3.as.ASNamedObjectMap,org.apache.xerces.dom3.as.ASNamedObjectMap,3
org.apache.xerces.dom3.as.ASNotationDeclaration,org.apache.xerces.dom3.as.ASNotationDeclaration,3
org.apache.xerces.dom3.as.ASObject,org.apache.xerces.dom3.as.ASObject,3
org.apache.xerces.dom3.as.ASObjectList,org.apache.xerces.dom3.as.ASObjectList,3
org.apache.xerces.dom3.as.CharacterDataEditAS,org.apache.xerces.dom3.as.CharacterDataEditAS,17
org.apache.xerces.dom3.as.DOMASBuilder,org.apache.xerces.dom3.as.DOMASBuilder,3
org.apache.xerces.dom3.as.DOMASException,org.apache.xerces.dom3.as.DOMASException,19
org.apache.xerces.dom3.as.DOMASWriter,org.apache.xerces.dom3.as.DOMASWriter,3
org.apache.xerces.dom3.as.DOMImplementationAS,org.apache.xerces.dom3.as.DOMImplementationAS,3
org.apache.xerces.dom3.as.DocumentAS,org.apache.xerces.dom3.as.DocumentAS,3
org.apache.xerces.dom3.as.DocumentEditAS,org.apache.xerces.dom3.as.DocumentEditAS,17
org.apache.xerces.dom3.as.ElementEditAS,org.apache.xerces.dom3.as.ElementEditAS,17
org.apache.xerces.dom3.as.NodeEditAS,org.apache.xerces.dom3.as.NodeEditAS,17
org.apache.xerces.impl.Constants,org.apache.xerces.impl.Constants,0
org.apache.xerces.impl.Constants$ArrayEnumeration,org.apache.xerces.impl.Constants$ArrayEnumeration,0
org.apache.xerces.impl.ExternalSubsetResolver,org.apache.xerces.impl.ExternalSubsetResolver,5
org.apache.xerces.impl.RevalidationHandler,org.apache.xerces.impl.RevalidationHandler,3
org.apache.xerces.impl.Version,org.apache.xerces.impl.Version,20
org.apache.xerces.impl.XML11DTDScannerImpl,org.apache.xerces.impl.XML11DTDScannerImpl,5
