matching_scope,caliper,metric,n_pairs,stage2_wins,ties,stage2_losses,mean_stage2_minus_leiden_raw,median_stage2_minus_leiden_raw,wilcoxon_statistic,wilcoxon_p_two_sided,rank_biserial,n_nonzero_pairs
same_seed,0.01,weighted_modularity,8,3,1,4,-0.029888774981788095,-0.0004096081378249239,12.0,0.78125,-0.14285714285714285,7
same_seed,0.01,coupling,8,5,1,2,-0.06059732472324726,-0.06549815498154987,5.0,0.0703125,0.7857142857142857,7
same_seed,0.01,cohesion,8,1,1,6,-0.20136762113282902,-0.4180632498814312,7.0,0.28125,-0.5,7
same_seed,0.025,weighted_modularity,14,5,1,8,-0.020153636750686172,-0.0018705491482959025,31.0,0.310749086927236,-0.31868131868131866,13
same_seed,0.025,coupling,14,11,1,2,-0.0749538745387454,-0.06549815498154987,5.0,0.002857948071919034,0.9340659340659341,13
same_seed,0.025,cohesion,14,2,1,11,0.06537740031598897,-0.7310798628980444,25.0,0.15183112946792546,-0.45054945054945056,13
same_seed,0.05,weighted_modularity,22,6,4,12,-0.02264636265691319,-0.0018705491482959025,38.0,0.03855667750566695,-0.5555555555555556,18
same_seed,0.05,coupling,22,15,4,3,-0.06233227104998324,-0.06250000000000003,18.0,0.00042335750512404797,0.9298245614035088,18
same_seed,0.05,cohesion,22,7,1,14,0.4377700451896432,-0.3628809462142799,96.0,0.4978499698426212,-0.16883116883116883,21
same_seed,0.1,weighted_modularity,28,8,4,16,-0.023481004765487142,-0.003301066076850878,72.0,0.025834861675151807,-0.52,24
same_seed,0.1,coupling,28,21,4,3,-0.07025896151818664,-0.06250000000000003,18.0,2.5064738801844015e-05,0.96,24
same_seed,0.1,cohesion,28,8,1,19,0.26946420059150367,-0.6102753727753725,144.0,0.2796068385533237,-0.23809523809523808,27
pooled,0.01,weighted_modularity,16,8,1,7,-0.015596577152493187,0.0027412523318037785,53.0,0.6906488569095801,-0.11666666666666667,15
pooled,0.01,coupling,16,10,1,5,-0.06639183579335796,-0.06549815498154987,20.0,0.012988027970661299,0.75,15
pooled,0.01,cohesion,16,3,1,12,-0.1546225909396748,-1.4093896843896836,42.0,0.3064290050604811,-0.3,15
pooled,0.025,weighted_modularity,23,10,1,12,-0.023526875943895808,-0.0008192162756498478,86.0,0.18841173941000022,-0.3201581027667984,22
pooled,0.025,coupling,23,16,1,6,-0.06768410075405103,-0.06549815498154987,27.0,0.0007327140691204425,0.83399209486166,22
pooled,0.025,cohesion,23,5,1,17,-0.11106791040029171,-1.3809015059015053,85.0,0.17781859909903341,-0.32806324110671936,22
pooled,0.05,weighted_modularity,27,12,1,14,-0.01883225061109773,-0.0008192162756498478,129.0,0.23750577392655614,-0.26495726495726496,26
pooled,0.05,coupling,27,18,1,8,-0.06672816728167284,-0.06549815498154987,44.0,0.0004935120316991933,0.7948717948717948,26
pooled,0.05,cohesion,27,5,1,21,-0.27820798273186303,-1.2535483035483042,102.0,0.061915293121791705,-0.4188034188034188,26
pooled,0.1,weighted_modularity,28,12,1,15,-0.019958535866740446,-0.0022497332042048235,130.0,0.15626940700489453,-0.31216931216931215,27
pooled,0.1,coupling,28,19,1,8,-0.06586056931997894,-0.06342250922509232,44.0,0.00029319077859125443,0.8095238095238095,27
pooled,0.1,cohesion,28,6,1,21,-0.030382172542104735,-1.1749045707379042,129.0,0.14941413182928862,-0.31746031746031744,27
same_seed_cluster_count_delta_le_1,0.01,weighted_modularity,2,0,1,1,-0.0004096081378249239,-0.0004096081378249239,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.01,coupling,2,0,1,1,0.008302583025830229,0.008302583025830229,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.01,cohesion,2,0,1,1,-0.40773561455379603,-0.40773561455379603,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.025,weighted_modularity,2,0,1,1,-0.0004096081378249239,-0.0004096081378249239,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.025,coupling,2,0,1,1,0.008302583025830229,0.008302583025830229,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.025,cohesion,2,0,1,1,-0.40773561455379603,-0.40773561455379603,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.05,weighted_modularity,5,0,4,1,-0.00016384325512996956,0.0,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.05,coupling,5,0,4,1,0.0033210332103320583,-5.551115123125783e-17,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.05,cohesion,5,3,1,1,0.1825059115968209,0.55700814337178,4.0,0.75,0.2,4
same_seed_cluster_count_delta_le_1,0.1,weighted_modularity,6,0,4,2,-0.009278086179155126,0.0,0.0,0.5,-1.0,2
same_seed_cluster_count_delta_le_1,0.1,coupling,6,0,4,2,0.005996309963099587,-5.551115123125783e-17,10.0,1.0,-1.0,2
same_seed_cluster_count_delta_le_1,0.1,cohesion,6,4,1,1,0.23345164375467395,0.5225942239578596,5.0,0.625,0.3333333333333333,5
