stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
0,pooled,True,seed0_solution054,0.6592983097983453,0.2660538093503631,0.5345940959409594,14.832683982683983,10,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.010889242725153458,-4.0,-0.04006489903459898,0.014298892988929945,6.651674912389199,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
1,pooled,True,seed1_solution064,0.489839810782912,0.1698876479078443,0.6217712177121771,16.69781946448613,9,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.061865529489293525,-7.0,-0.05036823776909369,-0.04243542435424352,6.660914702581371,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
2,pooled,True,seed2_solution041,0.8312600291287053,0.3184115267697879,0.4252767527675277,7.06041181041181,10,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.002992460283903764,-2.0,0.0030376211857138236,0.011070110701107083,-0.022473822473822125,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
3,pooled,True,seed3_solution060,0.0462167875996826,0.1772918694938795,0.4843173431734317,4.691717171717171,5,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.5054885526725229,-11.0,-0.04296401618305848,-0.17988929889298894,-5.345187590187589,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
4,pooled,True,seed4_solution042,0.7179734939788847,0.2886576256791166,0.4257380073800738,7.323702223702224,9,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.010740859488646448,-5.0,-0.016852601067523454,-0.09594095940959407,-1.4441549191549186,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
5,pooled,True,seed5_solution037,0.8141678871845818,0.1779881129069593,0.3450184501845018,5.628086419753086,9,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.020084602228027326,-3.0,-0.1373857926771148,-0.06918819188191883,-1.4547992131325458,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
6,pooled,True,seed6_solution038,0.7179734939788848,0.3198640107365095,0.4215867158671587,7.671596304929638,9,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.01074085948864656,-5.0,0.014353783989869418,-0.10009225092250917,-1.0962608379275043,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
7,pooled,True,seed7_solution074,0.3284319846326266,0.1873801120967853,0.6033210332103321,6.599503968253968,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.22327335563957895,-8.0,-0.0328757735801527,-0.06088560885608851,-3.4374007936507915,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
8,pooled,True,seed8_solution052,0.6034787015743198,0.3053628933429556,0.4423431734317343,5.452452408702408,8,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.0020682317437829,-9.0,0.019438116140847783,-0.11946494464944651,-5.655390728552495,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
9,pooled,True,seed9_solution051,0.6067145355023972,0.2671985420269332,0.4838560885608856,6.508658008658009,9,0,2.0,0.610224967124386,0.2967887275159651,0.5424354243542435,9.547407407407407,15,0.00351043162198883,-6.0,-0.02959018548903186,-0.058579335793357945,-3.038749398749398,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
10,pooled,True,seed10_solution040,0.5849056603773585,0.2848583386664124,0.4663284132841328,8.049805194805195,10,2,2.75,0.5809360120128548,0.2831291657589085,0.566420664206642,11.119607843137254,17,0.003969648364503642,-7.0,0.0017291729075039064,-0.10009225092250923,-3.0698026483320593,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
