stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
0,same_seed_cluster_count_delta_le_1,True,seed0_solution054,0.6592983097983453,0.2660538093503631,0.5345940959409594,14.832683982683983,10.0,0.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.23369486500914405,-1.0,-0.05854295454854891,0.1166974169741698,8.291906578270215,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
1,same_seed_cluster_count_delta_le_1,True,seed1_solution064,0.489839810782912,0.1698876479078443,0.6217712177121771,16.69781946448613,9.0,1.0,0.75,1.184478952129774,0.3004470637995124,0.3118081180811808,6.9185672514619885,10.0,0.694639141346862,-1.0,-0.1305594158916681,0.30996309963099633,9.779252213024142,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
2,same_seed_cluster_count_delta_le_1,True,seed2_solution041,0.8312600291287053,0.3184115267697879,0.4252767527675277,7.06041181041181,10.0,2.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.06173314567878396,-1.0,-0.00618523712912411,0.007380073800738074,0.5196344059980413,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
3,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
4,same_seed_cluster_count_delta_le_1,True,seed4_solution042,0.7179734939788847,0.2886576256791166,0.4257380073800738,7.323702223702224,9.0,4.0,0.75,1.254113913802556,0.3041230588159199,0.316420664206642,6.256465237166992,9.0,0.5361404198236714,0.0,-0.015465433136803264,0.10931734317343178,1.0672369865352316,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
5,same_seed_cluster_count_delta_le_1,True,seed5_solution037,0.8141678871845818,0.1779881129069593,0.3450184501845018,5.628086419753086,9.0,5.0,0.75,1.110004987176055,0.3058079785133643,0.3265682656826568,6.306470588235294,10.0,0.2958370999914731,-1.0,-0.127819865606405,0.01845018450184499,-0.6783841684822081,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
6,same_seed_cluster_count_delta_le_1,True,seed6_solution038,0.7179734939788848,0.3198640107365095,0.4215867158671587,7.671596304929638,9.0,6.0,0.75,1.1912221975595922,0.3074697078266906,0.3279520295202952,5.494911707373008,9.0,0.4732487035807075,0.0,0.01239430290981891,0.0936346863468635,2.17668459755663,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
7,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
8,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
9,same_seed_cluster_count_delta_le_1,True,seed9_solution051,0.6067145355023972,0.2671985420269332,0.4838560885608856,6.508658008658009,9.0,9.0,0.75,1.110004987176055,0.3058079785133643,0.3265682656826568,6.306470588235294,10.0,0.5032904516736577,-1.0,-0.03860943648643106,0.1572878228782288,0.20218742042271476,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
10,same_seed_cluster_count_delta_le_1,True,seed10_solution040,0.5849056603773585,0.2848583386664124,0.4663284132841328,8.049805194805195,10.0,10.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.3080875144301308,-1.0,-0.0397384252324996,0.04843173431734321,1.5090277903914266,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
