seed,eligible_solution_count,has_candidate,solution_id,same_as_selected,weighted_modularity,modularity_delta_vs_leiden,coupling,coupling_delta_vs_leiden,cohesion,cohesion_delta_vs_leiden,imbalance,imbalance_delta_vs_leiden,cluster_count,singleton_ratio,max_cluster_ratio,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
0,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
1,2,True,seed1_solution033,False,0.1270167123949837,-0.1975800515039283,0.4174354243542435,-0.0004612546125461,11.42300824175824,4.882230837344471,0.7804572784885447,-0.1125358963189445,8.0,0.0188679245283018,0.3018867924528302,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
2,2,True,seed2_solution040,False,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,7.154761904761905,0.6139845003481366,0.8482176148297745,-0.0447755599777147,10.0,0.0566037735849056,0.2452830188679245,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
3,9,True,seed3_solution050,False,0.1690839628068788,-0.1555128010920332,0.4128228782287823,-0.0050738007380073,7.09165120593692,0.5508738015231511,0.3792405894762601,-0.5137525853312293,7.0,0.0,0.2264150943396226,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
4,1,True,seed4_solution039,False,0.089669130662709,-0.234927633236203,0.393450184501845,-0.0244464944649446,12.554421768707485,6.013644364293716,0.7566014209722046,-0.1363917538352846,7.0,0.0,0.3773584905660377,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
5,8,True,seed5_solution038,False,0.1318732894432265,-0.1927234744556855,0.3482472324723247,-0.0696494464944649,14.023856209150326,7.483078804736557,0.8297597519734348,-0.0632334228340545,9.0,0.0,0.3396226415094339,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
6,1,True,seed6_solution036,False,0.3195323244168788,-0.0050644394820332,0.4123616236162362,-0.0055350553505534,6.968641358641358,0.4278639542275897,0.7872696620764175,-0.1057235127310718,10.0,0.0377358490566037,0.2452830188679245,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
7,3,True,seed7_solution033,False,0.0971813258261735,-0.2274154380727385,0.349169741697417,-0.0687269372693726,14.76203007518797,8.221252670774202,0.6960704432338383,-0.196922731573651,6.0,0.0,0.3584905660377358,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
8,2,True,seed8_solution043,False,0.1754191927874076,-0.1491775711115044,0.3952952029520295,-0.0226014760147601,9.82032913165266,3.279551727238891,0.8440101602394354,-0.0489830145680538,10.0,0.0377358490566037,0.320754716981132,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
9,3,True,seed9_solution038,False,0.1056117750983782,-0.2189849888005338,0.3833025830258302,-0.0345940959409594,13.998214285714283,7.457436881300515,0.8636069804789288,-0.0293861943285604,8.0,0.0,0.3018867924528302,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
10,3,True,seed10_solution034,False,0.1264981200895959,-0.1980986438093161,0.3805350553505535,-0.0373616236162361,9.666190476190476,3.1254130717767072,0.6857653526560847,-0.2072278221514045,10.0,0.0188679245283018,0.2830188679245283,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
