comparison,condition,seeds_satisfying,total_solutions_satisfying,per_seed_solution_counts
exact,dominates_formal_objectives_coupling_cohesion_imbalance,22,52,"[4, 0, 2, 2, 1, 0, 2, 3, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 3, 2, 2, 2, 3, 2, 3, 1, 4, 0, 5, 4]"
exact,better_imbalance_no_worse_modularity,3,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
exact,better_imbalance_no_worse_coupling,30,450,"[15, 11, 19, 19, 9, 18, 17, 13, 13, 17, 10, 9, 12, 15, 9, 16, 19, 15, 19, 20, 17, 12, 11, 12, 16, 16, 19, 14, 20, 18]"
exact,better_imbalance_no_worse_modularity_and_coupling,3,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
exact,better_imbalance_no_worse_modularity_or_coupling,30,450,"[15, 11, 19, 19, 9, 18, 17, 13, 13, 17, 10, 9, 12, 15, 9, 16, 19, 15, 19, 20, 17, 12, 11, 12, 16, 16, 19, 14, 20, 18]"
tolerance_1e-9,dominates_formal_objectives_coupling_cohesion_imbalance,22,52,"[4, 0, 2, 2, 1, 0, 2, 3, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 3, 2, 2, 2, 3, 2, 3, 1, 4, 0, 5, 4]"
tolerance_1e-9,better_imbalance_no_worse_modularity,3,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
tolerance_1e-9,better_imbalance_no_worse_coupling,30,447,"[15, 11, 18, 19, 9, 18, 17, 13, 13, 17, 10, 9, 12, 15, 9, 16, 19, 15, 19, 20, 17, 12, 11, 12, 15, 16, 19, 14, 19, 18]"
tolerance_1e-9,better_imbalance_no_worse_modularity_and_coupling,3,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
tolerance_1e-9,better_imbalance_no_worse_modularity_or_coupling,30,447,"[15, 11, 18, 19, 9, 18, 17, 13, 13, 17, 10, 9, 12, 15, 9, 16, 19, 15, 19, 20, 17, 12, 11, 12, 15, 16, 19, 14, 19, 18]"
