subject,seed,run_type,calibration_status,bounds_source,class_count,max_raw_edge_weight,imbalance_upper_bound,imbalance_bound_method,calibration_bound_violation,hypervolume,hv_leiden_only,hv_gain_over_leiden,n_solutions,n_non_leiden_partitions,n_injected_seed_solutions,n_non_injected_solutions,exact_leiden_present_in_front,leiden_dominated_by_front,n_solutions_dominating_leiden,runtime_sec,front_source,final_population_size,result_opt_size,feasible_population_size,constraint_violating_population_size,recomputed_nondominated_size,n_unique_objective_vectors,n_unique_canonical_partitions,front_validation_passed,has_feasible_solution,used_infeasible_fallback,solution_id,coupling,cohesion,imbalance,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,maximum_cluster_size,minimum_cluster_size,max_cluster_ratio,singleton_ratio,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,0,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.17477107919460103,0.046326163842385255,0.12844491535221578,100,100,0,100,False,True,4,7.859056041983422,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed0_solution039,0.4225092250922509,7.351755651755651,0.6670818690439126,0.32167945612804844,0.577490774907749,1.3668122270742358,9,5.888888888888889,12,1,0.22641509433962265,0.018867924528301886,False,False,,30.434782608695656,0.20100502512562815,0.2222222222222222,0.21108179419525067,0.08565937748267949,0.43191756436883844,1.0
daytrader,1,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1699480053774979,0.046326163842385255,0.12362184153511266,100,100,0,100,False,False,0,7.67571699997643,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed1_solution029,0.4303505535055351,5.668242251575585,0.731238580191551,0.3144780972140901,0.5696494464944649,1.3236870310825295,9,5.888888888888889,13,1,0.24528301886792453,0.03773584905660377,False,False,,23.913043478260864,0.17370892018779344,0.20555555555555555,0.18829516539440203,0.054406140158408514,0.40538191560059256,1.0
daytrader,2,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.18214335866195236,0.046326163842385255,0.1358171948195671,100,100,0,100,False,True,2,7.617857999983244,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed2_solution042,0.41789667896678967,7.772061272061273,0.7044586680224328,0.324596763898912,0.5821033210332104,1.3929359823399559,9,5.888888888888889,13,1,0.24528301886792453,0.018867924528301886,False,False,,26.086956521739136,0.178743961352657,0.20555555555555555,0.19121447028423774,0.05983878491431361,0.41561892771707537,1.0
daytrader,3,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.20521436193142506,0.046326163842385255,0.1588881980890398,100,100,1,99,False,True,2,7.6592263340135105,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed3_solution047,0.45156826568265684,5.040611471861472,0.4769518739533788,0.2915974855666451,0.5484317343173432,1.2145045965270684,8,6.625,12,2,0.22641509433962265,0.0,False,False,,26.086956521739136,0.18518518518518517,0.19444444444444445,0.18970189701897017,0.06452608970080055,0.4155966830295237,1.0
daytrader,4,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1804678078909427,0.046326163842385255,0.13414164404855744,100,100,0,100,False,True,1,7.653591458045412,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed4_solution036,0.42204797047970477,6.9924525474525465,0.7827346608562845,0.3202020797306681,0.5779520295202952,1.369398907103825,10,5.3,13,1,0.24528301886792453,0.03773584905660377,False,False,,23.913043478260864,0.165,0.18333333333333332,0.17368421052631577,0.04195376848817642,0.4016084860897256,1.0
daytrader,5,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.16012277088115054,0.046326163842385255,0.11379660703876529,100,100,0,100,False,False,0,7.634268250025343,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed5_solution036,0.42297047970479706,7.744797178130511,0.6998957355091098,0.26395635612260193,0.5770295202952029,1.3642311886586695,9,5.888888888888889,15,1,0.2830188679245283,0.018867924528301886,False,False,,23.913043478260864,0.13592233009708737,0.15555555555555556,0.1450777202072539,0.006571301239983566,0.361631762943126,1.0
daytrader,6,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1900292218168352,0.046326163842385255,0.14370305797444996,100,100,0,100,False,True,2,7.636935250018723,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed6_solution069,0.613929889298893,13.658417508417509,0.33593384556160105,0.16292202243978154,0.386070110701107,0.6288504883546205,6,8.833333333333334,12,4,0.22641509433962265,0.0,False,False,,23.913043478260864,0.14957264957264957,0.19444444444444445,0.16908212560386474,0.02513100203186824,0.2907157518727903,1.0
daytrader,7,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.15871877562459538,0.046326163842385255,0.11239261178221013,100,100,0,100,False,True,3,7.673246999969706,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed7_solution046,0.5027675276752768,6.024138207471541,0.5027514186594048,0.25427873224765457,0.49723247232472323,0.9889908256880734,9,5.888888888888889,11,2,0.20754716981132076,0.0,False,False,,19.565217391304344,0.15384615384615385,0.14444444444444443,0.1489971346704871,0.025747354088011383,0.38585995804470585,1.0
daytrader,8,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.15560649298379656,0.046326163842385255,0.10928032914141131,100,100,0,100,False,False,0,7.64625954197254,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed8_solution044,0.44280442804428044,7.055858585858585,0.6960704432338384,0.30160222151114496,0.5571955719557196,1.2583333333333333,10,5.3,12,1,0.22641509433962265,0.018867924528301886,False,False,,26.086956521739136,0.17032967032967034,0.17222222222222222,0.1712707182320442,0.045961838473538935,0.41919506533032136,1.0
daytrader,9,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.19836327324957032,0.046326163842385255,0.15203710940718507,100,100,0,100,False,True,2,7.67993512499379,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed9_solution045,0.43496309963099633,7.509518876185543,0.7089922350209786,0.30931887501531835,0.5650369003690037,1.2990455991516436,9,5.888888888888889,13,1,0.24528301886792453,0.018867924528301886,False,False,,23.913043478260864,0.16346153846153846,0.18888888888888888,0.1752577319587629,0.04094096358289979,0.39400921669758393,1.0
