subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
jpetstore,0,seed0_solution000,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,"{""4"": 1, ""6"": 1, ""7"": 2}"
jpetstore,0,seed0_solution001,0.43705532693187044,0.7481481481481481,2.9705882352941178,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 2, ""7"": 2}"
jpetstore,0,seed0_solution002,0.43669257735101386,0.7481481481481481,2.9705882352941178,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 1, ""6"": 2, ""7"": 1}"
jpetstore,0,seed0_solution003,0.43991159884164033,0.745679012345679,2.9320388349514563,4,6.0,8,3,0.3333333333333333,0.0,"{""3"": 1, ""6"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution004,0.4370278920896207,0.7432098765432099,2.894230769230769,4,6.0,7,3,0.2916666666666667,0.0,"{""3"": 1, ""7"": 3}"
jpetstore,0,seed0_solution005,0.4251699436061579,0.7308641975308642,2.7155963302752295,4,6.0,8,4,0.3333333333333333,0.0,"{""4"": 1, ""5"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution006,0.42228623685413846,0.7283950617283951,2.6818181818181817,4,6.0,9,3,0.375,0.0,"{""3"": 1, ""5"": 1, ""7"": 1, ""9"": 1}"
jpetstore,0,seed0_solution007,0.43652796829751594,0.725925925925926,2.6486486486486487,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 1, ""6"": 2, ""7"": 1}"
jpetstore,0,seed0_solution008,0.4277366255144036,0.725925925925926,2.6486486486486487,4,6.0,6,6,0.25,0.0,"{""6"": 4}"
jpetstore,0,seed0_solution009,0.3825301021185796,0.7234567901234568,2.6160714285714284,4,6.0,8,2,0.3333333333333333,0.0,"{""2"": 1, ""7"": 2, ""8"": 1}"
