subject,stage,left_profile,right_profile,n_pairs,same_partition_count,different_partition_count,median_ari,median_nmi,analysis_status
jpetstore,stage2,BALANCE,COUPLING,30,0,30,0.6757617098681219,0.75223809951890475,DESCRIPTIVE
jpetstore,stage2,BALANCE,COHESION,30,0,30,0.50512942321610854,0.66027514853106006,DESCRIPTIVE
jpetstore,stage2,BALANCE,SEMANTIC,30,0,30,0.76852698993595614,0.83161412951689884,DESCRIPTIVE
jpetstore,stage2,COUPLING,COHESION,30,0,30,0.78718482535276424,0.86281000277643416,DESCRIPTIVE
jpetstore,stage2,COUPLING,SEMANTIC,30,0,30,0.90692446043165464,0.9207354775030856,DESCRIPTIVE
jpetstore,stage2,COHESION,SEMANTIC,30,0,30,0.68947858472998136,0.78787221497104787,DESCRIPTIVE
jpetstore,stage3,BALANCE,COUPLING,30,6,24,0.89599819127289171,0.91839376973982279,DESCRIPTIVE
jpetstore,stage3,BALANCE,COHESION,30,0,30,0.69828999765753108,0.79842986933595916,DESCRIPTIVE
jpetstore,stage3,BALANCE,SEMANTIC,30,7,23,0.80124317768344455,0.8398207206383137,DESCRIPTIVE
jpetstore,stage3,COUPLING,COHESION,30,0,30,0.79180562172463076,0.86517127428234242,DESCRIPTIVE
jpetstore,stage3,COUPLING,SEMANTIC,30,2,28,0.90316701919461584,0.9196945505313171,DESCRIPTIVE
jpetstore,stage3,COHESION,SEMANTIC,30,4,26,0.77322203171402393,0.8479249283454271,DESCRIPTIVE
daytrader,stage2,BALANCE,COUPLING,30,17,13,1,1,DESCRIPTIVE
daytrader,stage2,BALANCE,COHESION,30,19,11,1,1,DESCRIPTIVE
daytrader,stage2,BALANCE,SEMANTIC,30,16,14,1,1,DESCRIPTIVE
daytrader,stage2,COUPLING,COHESION,30,18,12,1,1,DESCRIPTIVE
daytrader,stage2,COUPLING,SEMANTIC,30,28,2,1,1,DESCRIPTIVE
daytrader,stage2,COHESION,SEMANTIC,30,20,10,1,1,DESCRIPTIVE
daytrader,stage3,BALANCE,COUPLING,30,18,12,1,1,DESCRIPTIVE
daytrader,stage3,BALANCE,COHESION,30,17,13,1,1,DESCRIPTIVE
daytrader,stage3,BALANCE,SEMANTIC,30,18,12,1,1,DESCRIPTIVE
daytrader,stage3,COUPLING,COHESION,30,18,12,1,1,DESCRIPTIVE
daytrader,stage3,COUPLING,SEMANTIC,30,24,6,1,1,DESCRIPTIVE
daytrader,stage3,COHESION,SEMANTIC,30,21,9,1,1,DESCRIPTIVE
xerces,stage2,BALANCE,COUPLING,30,1,29,0.95931464056778948,0.959324105532947,DESCRIPTIVE
xerces,stage2,BALANCE,COHESION,30,10,20,0.98757476586899107,0.98710935713114178,DESCRIPTIVE
xerces,stage2,BALANCE,SEMANTIC,30,1,29,0.95931464056778948,0.95871977256264418,DESCRIPTIVE
xerces,stage2,COUPLING,COHESION,30,9,21,0.96956602593980645,0.97299327810045666,DESCRIPTIVE
xerces,stage2,COUPLING,SEMANTIC,30,28,2,1,1,DESCRIPTIVE
xerces,stage2,COHESION,SEMANTIC,30,10,20,0.96956602593980645,0.97299327810045666,DESCRIPTIVE
xerces,stage3,BALANCE,COUPLING,30,0,30,0.97034422068845116,0.96294990869004082,DESCRIPTIVE
xerces,stage3,BALANCE,COHESION,30,4,26,0.96665830752502169,0.95590912858813348,DESCRIPTIVE
xerces,stage3,BALANCE,SEMANTIC,30,0,30,0.97034422068845116,0.96083731369756964,DESCRIPTIVE
xerces,stage3,COUPLING,COHESION,30,7,23,0.9774368939953102,0.97839502837201486,DESCRIPTIVE
xerces,stage3,COUPLING,SEMANTIC,30,26,4,1,1,DESCRIPTIVE
xerces,stage3,COHESION,SEMANTIC,30,8,22,0.9774368939953102,0.97732443822191706,DESCRIPTIVE
