subject,profile,metric,n_pairs,stage2_median,stage3_median,median_paired_delta_stage3_minus_stage2,better_count,tie_count,worse_count,increase_count,decrease_count,comparison_direction,median_ari,median_nmi,stage2_equals_stage3_count,analysis_status
jpetstore,BALANCE,weighted_modularity,30,0.42773662551440361,0.43679164761469319,0.0029355281207133488,22,3,5,22,5,higher_is_better,0.69921330283156591,0.76013114563712314,3,DESCRIPTIVE
jpetstore,BALANCE,coupling,30,0.27407407407407408,0.25802469135802464,-0.009876543209876576,17,11,2,2,17,lower_is_better,0.69921330283156591,0.76013114563712314,3,DESCRIPTIVE
jpetstore,BALANCE,cohesion,30,4.9000000000000004,4.9648809523809518,0.030357142857142971,15,5,10,15,10,higher_is_better,0.69921330283156591,0.76013114563712314,3,DESCRIPTIVE
jpetstore,BALANCE,imbalance,30,0,0.11785113019775793,0.11785113019775793,0,7,23,23,0,lower_is_better,0.69921330283156591,0.76013114563712314,3,DESCRIPTIVE
jpetstore,BALANCE,f_semantic,30,0.50760005590338708,0.51226006853751849,7.4657380238485338e-05,12,3,15,15,12,lower_is_better,0.69921330283156591,0.76013114563712314,3,CONFIRMATORY_FAMILY_COMPONENT
jpetstore,BALANCE,cluster_count,30,4,4,0,,30,,0,0,descriptive_increase_tie_decrease,0.69921330283156591,0.76013114563712314,3,DESCRIPTIVE
jpetstore,COUPLING,weighted_modularity,30,0.44206980643194654,0.44206980643194654,0,0,26,4,0,4,higher_is_better,1,1,26,DESCRIPTIVE
jpetstore,COUPLING,coupling,30,0.25185185185185183,0.25185185185185183,0,0,30,0,0,0,lower_is_better,1,1,26,DESCRIPTIVE
jpetstore,COUPLING,cohesion,30,5.477380952380952,5.477380952380952,0,0,26,4,0,4,higher_is_better,1,1,26,DESCRIPTIVE
jpetstore,COUPLING,imbalance,30,0.20412414523193148,0.20412414523193148,0,3,27,0,0,3,lower_is_better,1,1,26,DESCRIPTIVE
jpetstore,COUPLING,f_semantic,30,0.51226006853751849,0.51226006853751849,0,3,26,1,1,3,lower_is_better,1,1,26,DESCRIPTIVE
jpetstore,COUPLING,cluster_count,30,4,4,0,,30,,0,0,descriptive_increase_tie_decrease,1,1,26,DESCRIPTIVE
jpetstore,COHESION,weighted_modularity,30,0.43335771985977772,0.43335771985977772,0,11,6,13,11,13,higher_is_better,0.85534591194968557,0.91878211817122435,6,DESCRIPTIVE
