summary,stage,subject,budget,seed_count,eligible_seed_count,availability_rate,unavailable_seed_count,eligible_candidate_count_median,eligible_candidate_count_min,eligible_candidate_count_max,median_gain,mean_gain,iqr_gain,std_gain,min_gain,max_gain,bootstrap_mean_ci_low,bootstrap_mean_ci_high,positive_count,at_least_5pct_count,at_least_10pct_count,at_least_20pct_count,at_least_30pct_count,median_realised_modularity_loss,mean_realised_modularity_loss,max_realised_modularity_loss,median_coupling,median_cohesion,median_cluster_count,median_singleton_ratio
stage2_balance,stage2,daytrader,0,30,6,0.2000000000000000111,24,1,1,1,0.047796800385390601773,0.079023578122612597729,0.091993354773445501493,0.070219467086892001229,-2.4865207393427118126e-16,0.16654762754980570461,0.031083137750224500845,0.12696401849500069114,5,3,2,0,0,0,0,0,0.41789667896678961423,7.126273726273726794,10,0.056603773584905599237
stage2_balance,stage2,daytrader,0.0050000000000000001041,30,6,0.2000000000000000111,24,1,1,1,0.047796800385390601773,0.079023578122612597729,0.091993354773445501493,0.070219467086892001229,-2.4865207393427118126e-16,0.16654762754980570461,0.031083137750224500845,0.12696401849500069114,5,3,2,0,0,0,0,0,0.41789667896678961423,7.126273726273726794,10,0.056603773584905599237
stage2_balance,stage2,daytrader,0.010000000000000000208,30,8,0.26666666666666660745,22,1,1,2,0.10594086858949350316,0.10080710719385439778,0.12109501468452249506,0.071794764959982604324,-2.4865207393427118126e-16,0.17057463954167109699,0.052399200319232501488,0.14960817136062171118,7,5,4,0,0,0,0.0023171672912525001671,0.009662592520372100674,0.41789667896678961423,7.1295238095238095966,10,0.047169811320754699568
stage2_balance,stage2,daytrader,0.025000000000000001388,30,9,0.29999999999999987788,21,1,1,2,0.16174074927348910946,0.11349318248284649691,0.12109501468452249506,0.072568531307524497542,-2.4865207393427118126e-16,0.1959921819854165137,0.06939576221196300243,0.15717408169358521031,8,6,5,0,0,0,0.0057969874585770998776,0.019055141076669199901,0.41789667896678961423,7.1042857142857140929,10,0.037735849056603702756
stage2_balance,stage2,daytrader,0.050000000000000002776,30,13,0.43333333333333329263,17,1,1,2,0.16654762754980570461,0.13564016777969700733,0.12666327265271640212,0.084499177258053198569,-2.4865207393427118126e-16,0.29320896197774859449,0.092697872150950794135,0.18010946002903099883,12,11,8,2,0,0.019055141076669199901,0.018391551899452501101,0.041599551674583901129,0.4248154981549814857,7.0977855477855484878,10,0.037735849056603702756
stage2_balance,stage2,daytrader,0.10000000000000000555,30,16,0.53333333333333332593,14,2,1,4,0.27579455663409108146,0.22916860587861601073,0.17025895974558211132,0.13087976036663739876,-2.4865207393427118126e-16,0.42717803813051991035,0.16666677568639379214,0.28955820148611838283,15,14,12,10,6,0.059810969225147503359,0.051287911436066903337,0.096392258521214399525,0.43888376383763827437,7.0790986790986796251,9,0.018867924528301799336
stage2_balance,stage2,daytrader,0.14999999999999991118,30,18,0.59999999999999986677,12,2,1,7,0.29526774792499438371,0.25611454799929211923,0.17415362431612579908,0.13463891086699281141,-2.4865207393427118126e-16,0.42717803813051991035,0.19391921118794630541,0.31226010130260312136,17,16,14,12,8,0.090583855369172100458,0.078720073176962002126,0.14617997578125130342,0.44095940959409590798,7.2139939689939698297,9,0.018867924528301799336
stage2_balance,stage2,daytrader,0.2000000000000000111,30,22,0.7333333333333331705,8,2.5,1,12,0.32058323331173010917,0.29016855584808132207,0.18082216221725561089,0.14164258500929791107,-2.4865207393427118126e-16,0.52991262210399325827,0.23171277669619730344,0.34638511892317919161,21,20,18,16,12,0.14969398840842840226,0.12161166551789739931,0.19000116341756378979,0.4545664206642066052,7.0446847596847588235,9,0.018867924528301799336
stage2_balance,stage2,jpetstore,0,30,30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25185185185185182677,5.4773809523809520172,4,0
stage2_balance,stage2,jpetstore,0.0050000000000000001041,30,30,1,0,2,1,3,0,0.098618270522420600765,0,0.18181675753100609572,0,0.42264973081037410241,0.042264973081037403302,0.16905989232414961321,7,7,7,7,7,0,0.00075621231867560004432,0.0032409099371815000903,0.25185185185185182677,5.4773809523809520172,4,0
stage2_balance,stage2,jpetstore,0.010000000000000000208,30,30,1,0,3,1,4,0,0.098618270522420600765,0,0.18181675753100609572,0,0.42264973081037410241,0.042264973081037403302,0.16905989232414961321,7,7,7,7,7,0,0.00075621231867560004432,0.0032409099371815000903,0.25185185185185182677,5.4773809523809520172,4,0
stage2_balance,stage2,jpetstore,0.025000000000000001388,30,30,1,0,9,7,12,0.42264973081037410241,0.6150998205402493646,0.5773502691896259531,0.2768182661791332988,0.42264973081037410241,1,0.51887477567531170575,0.71132486540518702345,30,30,30,30,30,0.012163755594017399558,0.013558496125848499766,0.017983602374828499409,0.25185185185185182677,4.9083333333333332149,4,0
stage2_balance,stage2,jpetstore,0.050000000000000002776,30,30,1,0,22,14,28,1,0.9230199641080497619,0,0.19961649053878080529,0.42264973081037410241,1,0.84603992821609963482,0.98075499102701235721,30,30,30,30,30,0.032422890477930697839,0.025165091032792900883,0.039745967825349400038,0.27407407407407402555,4.9000000000000003553,4,0
stage2_balance,stage2,jpetstore,0.10000000000000000555,30,30,1,0,36,26,46,1,0.96150998205402482544,0,0.14647845813401369486,0.42264973081037410241,1,0.90377495513506245217,1,30,30,30,30,30,0.032422890477930697839,0.029917276348482801235,0.097834106784534594081,0.27407407407407402555,4.9000000000000003553,4,0
stage2_balance,stage2,jpetstore,0.14999999999999991118,30,30,1,0,56.5,41,70,1,1,0,0,1,1,1,1,30,30,30,30,30,0.032422890477930697839,0.036294973371672596685,0.11330772784631190642,0.27407407407407402555,4.9000000000000003553,4,0
stage2_balance,stage2,jpetstore,0.2000000000000000111,30,30,1,0,72,48,84,1,1,0,0,1,1,1,1,30,30,30,30,30,0.032422890477930697839,0.036294973371672596685,0.11330772784631190642,0.27407407407407402555,4.9000000000000003553,4,0
stage2_balance,stage2,xerces,0,30,24,0.80000000000000004441,6,1,1,1,1.6891607846050343802e-16,0.013238483569979900625,0.024297500589360900014,0.018779012350615298388,-0.00029778474142140001681,0.071986044151718400763,0.006346422377795499746,0.021135567118007899529,11,2,0,0,0,0,-0.00010891851615120000374,0,0.20879942487419120289,8.0687653361834232868,31,0.013513513513513500386
stage2_balance,stage2,xerces,0.0050000000000000001041,30,26,0.86666666666666669627,4,1.5,1,2,0.014195133410151900694,0.015845753134192799849,0.025479814085732001294,0.018559881393885199058,-0.0035945638776812998717,0.071986044151718400763,0.0093924829485366005677,0.023157418022529501628,16,2,0,0,0,0,0.0009344589631976000111,0.0045283761079322002591,0.20879942487419120289,8.0789246888977945815,30.5,0.012285012285012199273
stage2_balance,stage2,xerces,0.010000000000000000208,30,27,0.9000000000000000222,3,2,1,2,0.024398209973457100214,0.019999469379383499196,0.022883163969369599983,0.018879399492095001734,1.6891607846050343802e-16,0.071986044151718400763,0.013292359061192200731,0.027013828724862701258,22,3,0,0,0,0.0010258457748568000894,0.0027729817293563000652,0.0099135046899865991721,0.20957584471603160625,8.2924420830974820973,30,0.012285012285012199273
stage2_balance,stage2,xerces,0.025000000000000001388,30,30,1,0,3,1,4,0.041330929244177798398,0.046829893656832398408,0.028477799495991801271,0.028647280383247198526,0.0039336656352248998425,0.13181000399806880319,0.03708532254262909833,0.057352264663642703313,30,12,1,0,0,0.017397660958154700234,0.015456257971736100595,0.024790707562569999634,0.2208914450035945054,8.1686613948822071052,30,0.0073710073710073001352
stage2_balance,stage2,xerces,0.050000000000000002776,30,30,1,0,4,1,7,0.079368513222040804056,0.0751885868071481972,0.032688102014694901676,0.025595016991695900693,0.035037980573406200813,0.13723217325621750451,0.066543209797976302089,0.084106735469124505045,30,24,2,0,0,0.038565599507293699122,0.03613997488695620125,0.048643527667577401985,0.23781452192667140721,8.2748759786378798253,29,0.0055282555282555002549
stage2_balance,stage2,xerces,0.10000000000000000555,30,30,1,0,7,1,10,0.10918726701221860564,0.1117636605025733032,0.041502419131347299819,0.030162448673946400113,0.038519894039036002564,0.16266295757345258788,0.10087879980762459731,0.12237620664688089733,30,29,18,0,0,0.088314774454852501551,0.077676195050401797282,0.099906283631458897565,0.27378864126527679979,3.7994105245138669602,28,0.0012285012285012000648
stage2_balance,stage2,xerces,0.14999999999999991118,30,30,1,0,10,4,13,0.14511119159184659999,0.1455628124452295058,0.016403189077140199054,0.027984286291431900023,0.050726200891870798504,0.21686698064668538666,0.135394567613463912,0.1552947535834136028,30,30,29,1,0,0.13147629057490900495,0.12674891389665141062,0.14746404994023840085,0.30622573687994242286,1.2390268793391217006,28,0.0012285012285012000648
stage2_balance,stage2,xerces,0.2000000000000000111,30,30,1,0,13,6,18,0.17381039844732790178,0.17713113094654228674,0.039052194462518501072,0.02788890010827560148,0.12141586128179170101,0.25329324871970210209,0.16752627348823770359,0.18718121243787530505,30,30,30,6,0,0.183595603694434506,0.18029052842604520457,0.19981786930020689619,0.34651329978432782175,2.8261022846812933196,28,0.0012285012285012000648
stage3_balance,stage3,daytrader,0,30,4,0.13333333333333330373,26,1,1,1,0.1183944149230243964,0.15458186851831390296,0.066317140214369504903,0.083633020061402704726,0.10332957161348439723,0.27820907261372207486,0.10332957161348439723,0.23448919736366269362,4,4,4,1,0,0,0,0,0.41789667896678961423,7.406382506382505504,9.5,0.037735849056603702756
stage3_balance,stage3,daytrader,0.0050000000000000001041,30,6,0.2000000000000000111,24,1,1,1,0.1183944149230243964,0.13845287979819301261,0.06221938965872120253,0.082364261705960895021,0.036144275763816798019,0.27820907261372207486,0.081889583245084204832,0.20292198167003688836,6,5,5,1,0,0,0.001396210317492800005,0.0045553532774785000792,0.41789667896678961423,7.2322727272727282966,9.5,0.037735849056603702756
stage3_balance,stage3,daytrader,0.010000000000000000208,30,9,0.29999999999999987788,21,1,1,1,0.10332957161348439723,0.099647428319877204284,0.097572613139453603925,0.099833391578378505304,-0.033803656406766698084,0.27820907261372207486,0.038929546152156296879,0.16202925960438779862,7,6,6,1,0,0.0038219086274786000582,0.003945205399641199713,0.0096671806459753002044,0.41789667896678961423,7.1948551448551452125,10,0.037735849056603702756
stage3_balance,stage3,daytrader,0.025000000000000001388,30,10,0.33333333333333331483,20,1,1,2,0.1183944149230243964,0.12030910771425110117,0.087933033000362800791,0.10672434319126369862,-0.033803656406766698084,0.27820907261372207486,0.05778372849708320047,0.18287040013264610483,8,8,7,2,0,0.0066432781501989000492,0.0053950130351924996744,0.011802953114272200785,0.41789667896678961423,7.1105588855588859332,10,0.037735849056603702756
stage3_balance,stage3,daytrader,0.050000000000000002776,30,19,0.63333333333333330373,11,1,1,3,0.11839229650760009493,0.13446883053310260125,0.081872004746889201487,0.091750857121910903147,-0.033803656406766698084,0.29732653387224011743,0.094939483841453106705,0.17603309837909988933,18,17,12,4,0,0.032421989575123197347,0.023466175380756199714,0.045315277966673797594,0.42850553505535049492,7.0262626262626257656,10,0.037735849056603702756
stage3_balance,stage3,daytrader,0.10000000000000000555,30,24,0.80000000000000004441,6,2,1,5,0.19085056040013839707,0.18455267871215549902,0.17568990611277049418,0.11137332782698830536,-0.033803656406766698084,0.36332336083601818322,0.14138905730921039194,0.22777969109146339877,22,22,19,12,3,0.062078486442908198395,0.054317712950476097766,0.08871763528006400279,0.43703874538745390854,6.9855157468793827036,10,0.018867924528301799336
stage3_balance,stage3,daytrader,0.14999999999999991118,30,25,0.83333333333333325932,5,3,1,7,0.23205980515593330193,0.22169198376176030285,0.1685715681803887922,0.14003689087456400175,-0.033803656406766698084,0.58650012955607477849,0.16830304400267490084,0.27590393084313091787,23,23,20,17,5,0.080473101294343096779,0.081494994846551802037,0.13798656662368019576,0.44926199261992622036,6.5967002694275427288,10,0.018867924528301799336
stage3_balance,stage3,daytrader,0.2000000000000000111,30,26,0.86666666666666669627,4,3.5,1,8,0.25268934084924049577,0.25458187235144641436,0.14387841998105868613,0.14874773131662169523,-0.033803656406766698084,0.58650012955607477849,0.19884072504644678681,0.30976770624266980469,24,24,22,19,9,0.087044771912805893321,0.099107533941730496796,0.1996585123658176919,0.45779520295202952296,6.5137915956097778292,9,0.018867924528301799336
stage3_balance,stage3,jpetstore,0,30,26,0.86666666666666669627,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25185185185185182677,5.4773809523809520172,4,0
stage3_balance,stage3,jpetstore,0.0050000000000000001041,30,28,0.93333333333333323711,2,2,1,2,0,0.02644371288497050082,0,0.17155084509865439757,-0.52752523165194664667,0.42264973081037410241,-0.037680373689424701,0.090567799459365799786,3,3,3,3,3,0,0.00069743593784930000331,0.0049234248832928000431,0.25185185185185182677,5.4773809523809520172,4,0
stage3_balance,stage3,jpetstore,0.010000000000000000208,30,29,0.96666666666666656305,1,2,1,3,0,0.033053383299055799638,0,0.14041769828087791172,-0.15470053837925179518,0.42264973081037410241,-0.01209837796847870045,0.087444771891801498231,3,3,3,3,3,0,0.0011888884582469999487,0.0099158052971639997625,0.25185185185185182677,5.4773809523809520172,4,0
stage3_balance,stage3,jpetstore,0.025000000000000001388,30,30,1,0,3,2,5,0.18350341907227391003,0.30535297148466350459,0.23914631173810010911,0.31389095990419507709,0,1,0.20260190560610891186,0.42123062997652949146,23,23,23,11,11,0.011343184780135299322,0.0089182486214640002004,0.017983602374828499409,0.25185185185185182677,4.9690476190476191576,4,0
