stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage2,daytrader,budgeted_balance_0.050,mojofm_vs_reference,available,13,23.91304347826086385,24.080267558528422711,0,0,0.1672240802675614979,0,-0.33444816053511772225,0.52954292084726606316,-0.1226309921962139976
stage2,daytrader,budgeted_balance_0.050,pairwise_precision,available,13,0.1666666666666666019,0.16430633148797640919,0.012011371712864199815,-0.00082101806239729996535,-0.0031813532410874998356,0,-0.0015880859840766000865,0.0091863702537977008633,0.0046295401671243999533
stage2,daytrader,budgeted_balance_0.050,pairwise_recall,available,13,0.18888888888888880069,0.18974358974358970786,0.016666666666666600516,0,0.0008547008547007999479,0,-0.0038461538461537999635,0.011039886039885900629,0.0041880341880340997765
stage2,daytrader,budgeted_balance_0.050,pairwise_f1,available,13,0.17676767676767671245,0.17603387916382279288,0.011392116655274500334,-0.00077801513832840001484,-0.0015118127421822999575,0,-0.0025726910559269000438,0.010586225046998099311,0.0053345817341544999116
stage2,daytrader,budgeted_balance_0.050,ari_vs_reference,available,13,0.043003770045276598633,0.041970966295746703345,0.013918869015193499616,-0.0023542069678354001112,-0.0033870107173653001692,0,-0.0022082576812799997908,0.012367609940180199213,0.0058765842661843000969
stage2,daytrader,budgeted_balance_0.050,nmi_vs_reference,available,13,0.39837909539312871265,0.39938316658680111937,0.019164356575413099559,-0.022657990604929300477,-0.021653919411256900701,0,-0.0028393953783785001732,0.02329917507122549955,0.009373953569218300072
stage2,daytrader,budgeted_balance_0.050,reference_coverage_ratio,available,13,1,1,0,0,0,0,0,0,0
stage2,daytrader,conservative,mojofm_vs_reference,available,30,23.91304347826086385,23.55072463768116009,3.8043478260869640906,0,-0.36231884057970548119,0,0,0,-0.6521739130434801579
stage2,daytrader,conservative,pairwise_precision,available,30,0.1608898149283000123,0.15511996123417859383,0.024689108245348100751,-0.0065978698007638997627,-0.012367723494885300012,0,0,0,-0.004556830086673200296
stage2,daytrader,conservative,pairwise_recall,available,30,0.18333333333333329263,0.17870370370370369795,0.027777777777777699908,-0.0055555555555555002564,-0.010185185185185099271,0,0,0,-0.0068518518518517999849
stage2,daytrader,conservative,pairwise_f1,available,30,0.16982841719683819393,0.1654476541168246051,0.031956808590415497484,-0.0077172747091669002123,-0.012098037789180499449,0,0,0,-0.005251643312843499653
