stage,subject,profile,available_seed_count,pair_count,availability_rate,ari_mean,ari_median,ari_iqr,nmi_mean,nmi_median,identical_partition_count,identical_partition_rate,cluster_count_mean,cluster_count_std
stage2,daytrader,budgeted_balance_0.010,8,28,0.26666666666666660745,0.92060515845448798178,0.92862720724166503139,0.040665531681066902081,0.95227666024828083735,0.95849525341279284696,0,0,9.75,0.70710678118654746172
stage2,daytrader,budgeted_balance_0.025,9,36,0.29999999999999987788,0.89839881808403609931,0.88984788958199156905,0.053332086438212501778,0.93879138248731774929,0.93462352612446442102,0,0,9.6666666666666660745,0.70710678118654746172
stage2,daytrader,budgeted_balance_0.050,13,78,0.43333333333333329263,0.85882535890093725239,0.86120767509172535537,0.07128560647507149739,0.90500477613765761831,0.90094296876948898323,0,0,9.615384615384616751,0.86971849262290412685
stage2,daytrader,budgeted_balance_0.100,16,120,0.53333333333333332593,0.73908065735046968303,0.72978470868460920684,0.13641472086532210883,0.81963983293516506912,0.81369146422997407075,0,0,9.1875,1.1086778913041726025
stage2,daytrader,conservative,30,435,1,0.4729848090910748204,0.49878230066103668161,0.63598516085490541805,0.63854693723115230064,0.67936988027170441828,0,0,8.9000000000000003553,1.2415229801920006913
stage2,daytrader,extreme_balance,30,435,1,-0.00086544386574549994878,-0.0063925558875818000101,0.02997737556561079833,0.045202471836256002957,0.037885370746989402435,0,0,3.3666666666666666963,0.55605341676753550217
stage2,daytrader,knee_native,30,435,1,0.061103444538762999305,0.035404544132768500653,0.060518566293191800032,0.2500835698488885761,0.2359591559751477996,0,0,6.7333333333333333925,2.0160277319749231317
stage2,jpetstore,budgeted_balance_0.010,30,435,1,0.96150737654008155975,1,0.10400180872710819424,0.96980164780193722773,1,253,0.58160919540229882863,4,0
stage2,jpetstore,budgeted_balance_0.025,30,435,1,0.78761533664060823234,0.70537552420892102312,0.41279337321675102501,0.83492294445153103499,0.76109116841376500684,45,0.10344827586206889469,4,0
stage2,jpetstore,budgeted_balance_0.050,30,435,1,0.81964674192403552677,0.78703703703703697947,0.31944444444444441977,0.86262468620451093759,0.8374943945879114171,150,0.34482758620689651918,4,0
stage2,jpetstore,budgeted_balance_0.100,30,435,1,0.80352892331424574657,0.6805555555555554692,0.31944444444444441977,0.85041679379499213187,0.77042604148637749972,150,0.34482758620689651918,4,0
stage2,jpetstore,conservative,30,435,1,1,1,0,1,1,435,1,4,0
stage2,jpetstore,extreme_balance,30,435,1,0.79188378033205619744,0.6805555555555554692,0.31944444444444441977,0.84143213282678164244,0.75624159188186712566,150,0.34482758620689651918,4,0
stage2,jpetstore,knee_native,30,435,1,0.71198964116337914998,0.67317939609236232545,0.20305777612535749754,0.81359751479629616178,0.78723761293731064903,2,0.004597701149425199689,4.9666666666666667851,0.18257418583505530263
stage2,xerces,budgeted_balance_0.010,27,351,0.9000000000000000222,0.99037180353485776418,0.99161724646418425433,0.0079881968357137997372,0.98981617301824320609,0.99102736628733678614,0,0,30.296296296296297612,0.77533192965310104849
stage2,xerces,budgeted_balance_0.025,30,435,1,0.95752870686429436553,0.95760816127228420847,0.021453795657645900741,0.95393570414332240492,0.95332635779857821667,0,0,29.566666666666662877,0.9714309861845772387
stage2,xerces,budgeted_balance_0.050,30,435,1,0.92246195902187244631,0.92298946073547083468,0.020767947581123498424,0.92066181756667164748,0.92088971795764285044,0,0,28.833333333333332149,0.83390784793679384457
stage2,xerces,budgeted_balance_0.100,30,435,1,0.86863356781895184611,0.87068423521200277726,0.04680986548729169916,0.86556576119466810404,0.8641365944687933176,0,0,28.300000000000000711,1.0221680811915900833
stage2,xerces,conservative,30,435,1,0.99201472150450797916,0.99701262025539083567,0.0066023984891169004013,0.99260930943732716969,0.99715150984553357905,0,0,30.466666666666665009,0.73029674334022154358
stage2,xerces,extreme_balance,30,435,1,3.0345007206758808628e-05,-0.00028989212930280000265,0.0021892721060160001516,0.0039000191142254999471,0.0034759464596911000128,0,0,3.9666666666666672292,1.2726115785600324859
stage2,xerces,knee_native,30,435,1,0.51010646655785563119,0.73390824997549752862,0.9194482606108076439,0.53917722858963490484,0.80339306965306434005,0,0,24.13333333333333286,9.2651863532753360175
stage3,daytrader,budgeted_balance_0.010,9,36,0.29999999999999987788,0.89172813517108950876,0.89316003133113575085,0.086151917544098996493,0.93006136745950296341,0.92679247259856400998,0,0,9.7777777777777785673,0.97182531580755004974
