subject,relative_path,sha256,size_bytes
jpetstore,data/semantic_graphs/declaration_method_body/jpetstore/artifact_hashes.csv,95ce387840044be404cea42ac771da07b7fcc8332f65d2eed9bd22027dec8163,398
jpetstore,data/semantic_graphs/declaration_method_body/jpetstore/class_mapping.csv,aca600c5c4cee3d35e1d0de04d84680884c0e58ebf298dff04f51d9e03f6c83b,2973
jpetstore,data/semantic_graphs/declaration_method_body/jpetstore/directed_topk_neighbours.csv,5909372a001cf35e2d4c4e2e34dbd613f0c13b42bd9c781c3cfb3512fb0f654a,7751
jpetstore,data/semantic_graphs/declaration_method_body/jpetstore/graph_metadata.json,10938f9b22a4abc99fe996932cfd06dffee303cabbf2948fee81f0c656053753,2215
jpetstore,data/semantic_graphs/declaration_method_body/jpetstore/semantic_edges.csv,62ea6b951eb2933400595468eb3acc71569f0ea22cd1a37714a1a99ba3fc7f5c,5163
daytrader,data/semantic_graphs/declaration_method_body/daytrader/artifact_hashes.csv,4abd46be389f75ddb925622923d80db903474f856653da02a74c4853c67f0906,400
daytrader,data/semantic_graphs/declaration_method_body/daytrader/class_mapping.csv,d85c3d5823bf78e2f47a57fc9e2bac3c678d10ce49bb52149cdec8c442562980,7606
daytrader,data/semantic_graphs/declaration_method_body/daytrader/directed_topk_neighbours.csv,4413b45633b70df06182de75e43dc5121c2d2bb6cabc94296a96f3641a8d6958,22139
daytrader,data/semantic_graphs/declaration_method_body/daytrader/graph_metadata.json,f2551542ba9abfdd3f49bcf6174072b5ed9588c55519d5b41d6e21e1f1efbddf,2218
daytrader,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,15747
xerces,data/semantic_graphs/declaration_method_body/xerces/artifact_hashes.csv,71852f07169b94679827267f2d2eabaf715a24eac230a024457b3567307df125,404
xerces,data/semantic_graphs/declaration_method_body/xerces/class_mapping.csv,fddd1609d142fc7e3f717fd872d8c48d51ba70e1b2c17a35e7c1d58d3927cf55,110579
xerces,data/semantic_graphs/declaration_method_body/xerces/directed_topk_neighbours.csv,1b647688bb72ab9abbc3c038db03d98e3006fd735d73087005b7130ada884abb,279262
xerces,data/semantic_graphs/declaration_method_body/xerces/graph_metadata.json,c56cd0663ed70768c2fd43790e56296a0c285889a05734760b964b7525597263,2200
xerces,data/semantic_graphs/declaration_method_body/xerces/semantic_edges.csv,a2951cc151506040f87e33abfa7e5a306e55ac2e85f36c5d8c7d7afa5fe9ee47,194657
