class_id,class_name,cluster_id
org.easymock.Capture,org.easymock.Capture,0
org.easymock.Capture$1,org.easymock.Capture$1,0
org.easymock.CaptureType,org.easymock.CaptureType,0
org.easymock.ConstructorArgs,org.easymock.ConstructorArgs,1
org.easymock.EasyMock,org.easymock.EasyMock,0
org.easymock.EasyMockExtension,org.easymock.EasyMockExtension,2
org.easymock.EasyMockListener,org.easymock.EasyMockListener,2
org.easymock.EasyMockRule,org.easymock.EasyMockRule,2
org.easymock.EasyMockRunner,org.easymock.EasyMockRunner,2
org.easymock.EasyMockSupport,org.easymock.EasyMockSupport,2
org.easymock.EasyMockSupport$ObjectMockingHelper,org.easymock.EasyMockSupport$ObjectMockingHelper,2
org.easymock.IAnswer,org.easymock.IAnswer,3
org.easymock.IArgumentMatcher,org.easymock.IArgumentMatcher,0
org.easymock.IExpectationSetters,org.easymock.IExpectationSetters,4
org.easymock.IMockBuilder,org.easymock.IMockBuilder,2
org.easymock.IMocksControl,org.easymock.IMocksControl,2
org.easymock.LogicalOperator,org.easymock.LogicalOperator,5
org.easymock.LogicalOperator$1,org.easymock.LogicalOperator$1,5
org.easymock.LogicalOperator$2,org.easymock.LogicalOperator$2,5
org.easymock.LogicalOperator$3,org.easymock.LogicalOperator$3,5
org.easymock.LogicalOperator$4,org.easymock.LogicalOperator$4,5
org.easymock.LogicalOperator$5,org.easymock.LogicalOperator$5,5
org.easymock.Mock,org.easymock.Mock,6
org.easymock.MockType,org.easymock.MockType,2
org.easymock.Preview,org.easymock.Preview,7
org.easymock.TestSubject,org.easymock.TestSubject,8
org.easymock.internal.AndroidClassProxyFactory,org.easymock.internal.AndroidClassProxyFactory,1
org.easymock.internal.AndroidClassProxyFactory$MockHandler,org.easymock.internal.AndroidClassProxyFactory$MockHandler,1
org.easymock.internal.AndroidSupport,org.easymock.internal.AndroidSupport,4
org.easymock.internal.ArgumentToString,org.easymock.internal.ArgumentToString,8
org.easymock.internal.AssertionErrorWrapper,org.easymock.internal.AssertionErrorWrapper,9
org.easymock.internal.BridgeMethodResolver,org.easymock.internal.BridgeMethodResolver,1
org.easymock.internal.ClassInstantiatorFactory,org.easymock.internal.ClassInstantiatorFactory,1
org.easymock.internal.ClassMockingData,org.easymock.internal.ClassMockingData,1
org.easymock.internal.ClassProxyFactory,org.easymock.internal.ClassProxyFactory,1
org.easymock.internal.ClassProxyFactory$MockMethodInterceptor,org.easymock.internal.ClassProxyFactory$MockMethodInterceptor,1
org.easymock.internal.DefaultClassInstantiator,org.easymock.internal.DefaultClassInstantiator,1
org.easymock.internal.EasyMockProperties,org.easymock.internal.EasyMockProperties,8
org.easymock.internal.EasyMockStatement,org.easymock.internal.EasyMockStatement,2
org.easymock.internal.ErrorMessage,org.easymock.internal.ErrorMessage,10
org.easymock.internal.ExpectedInvocation,org.easymock.internal.ExpectedInvocation,10
org.easymock.internal.ExpectedInvocationAndResult,org.easymock.internal.ExpectedInvocationAndResult,10
org.easymock.internal.ExpectedInvocationAndResults,org.easymock.internal.ExpectedInvocationAndResults,10
org.easymock.internal.IClassInstantiator,org.easymock.internal.IClassInstantiator,1
org.easymock.internal.IMocksBehavior,org.easymock.internal.IMocksBehavior,3
org.easymock.internal.IMocksControlState,org.easymock.internal.IMocksControlState,4
org.easymock.internal.IProxyFactory,org.easymock.internal.IProxyFactory,4
org.easymock.internal.IgnoreAnimalSniffer,org.easymock.internal.IgnoreAnimalSniffer,5
org.easymock.internal.Injection,org.easymock.internal.Injection,6
org.easymock.internal.InjectionPlan,org.easymock.internal.InjectionPlan,6
org.easymock.internal.InjectionTarget,org.easymock.internal.InjectionTarget,6
org.easymock.internal.Injector,org.easymock.internal.Injector,6
org.easymock.internal.Invocation,org.easymock.internal.Invocation,10
org.easymock.internal.JavaProxyFactory,org.easymock.internal.JavaProxyFactory,4
org.easymock.internal.LastControl,org.easymock.internal.LastControl,0
org.easymock.internal.LinkedClassLoader,org.easymock.internal.LinkedClassLoader,10
org.easymock.internal.MethodSerializationWrapper,org.easymock.internal.MethodSerializationWrapper,4
org.easymock.internal.MockBuilder,org.easymock.internal.MockBuilder,2
org.easymock.internal.MockInvocationHandler,org.easymock.internal.MockInvocationHandler,4
org.easymock.internal.MocksBehavior,org.easymock.internal.MocksBehavior,10
org.easymock.internal.MocksControl,org.easymock.internal.MocksControl,4
org.easymock.internal.ObjectMethodsFilter,org.easymock.internal.ObjectMethodsFilter,4
org.easymock.internal.ObjenesisClassInstantiator,org.easymock.internal.ObjenesisClassInstantiator,1
org.easymock.internal.PrimitiveUtils,org.easymock.internal.PrimitiveUtils,9
org.easymock.internal.PrimitiveUtils$1,org.easymock.internal.PrimitiveUtils$1,9
org.easymock.internal.PrimitiveUtils$PrimitiveEntry,org.easymock.internal.PrimitiveUtils$PrimitiveEntry,9
org.easymock.internal.Range,org.easymock.internal.Range,9
org.easymock.internal.RecordState,org.easymock.internal.RecordState,3
org.easymock.internal.ReflectionUtils,org.easymock.internal.ReflectionUtils,2
org.easymock.internal.ReplayState,org.easymock.internal.ReplayState,3
org.easymock.internal.Result,org.easymock.internal.Result,3
org.easymock.internal.Result$1DelegatingAnswer,org.easymock.internal.Result$1DelegatingAnswer,9
org.easymock.internal.Result$1ReturningAnswer,org.easymock.internal.Result$1ReturningAnswer,3
org.easymock.internal.Result$1ThrowingAnswer,org.easymock.internal.Result$1ThrowingAnswer,3
org.easymock.internal.Results,org.easymock.internal.Results,9
org.easymock.internal.RuntimeExceptionWrapper,org.easymock.internal.RuntimeExceptionWrapper,4
org.easymock.internal.ThrowableWrapper,org.easymock.internal.ThrowableWrapper,3
org.easymock.internal.UnorderedBehavior,org.easymock.internal.UnorderedBehavior,10
org.easymock.internal.classinfoprovider.ClassInfoProvider,org.easymock.internal.classinfoprovider.ClassInfoProvider,1
org.easymock.internal.classinfoprovider.DefaultClassInfoProvider,org.easymock.internal.classinfoprovider.DefaultClassInfoProvider,1
org.easymock.internal.classinfoprovider.JdkClassInfoProvider,org.easymock.internal.classinfoprovider.JdkClassInfoProvider,1
org.easymock.internal.matchers.And,org.easymock.internal.matchers.And,3
org.easymock.internal.matchers.Any,org.easymock.internal.matchers.Any,0
org.easymock.internal.matchers.ArrayEquals,org.easymock.internal.matchers.ArrayEquals,0
org.easymock.internal.matchers.Captures,org.easymock.internal.matchers.Captures,0
org.easymock.internal.matchers.Compare,org.easymock.internal.matchers.Compare,0
org.easymock.internal.matchers.CompareEqual,org.easymock.internal.matchers.CompareEqual,0
org.easymock.internal.matchers.CompareTo,org.easymock.internal.matchers.CompareTo,0
org.easymock.internal.matchers.Contains,org.easymock.internal.matchers.Contains,1
org.easymock.internal.matchers.EndsWith,org.easymock.internal.matchers.EndsWith,0
org.easymock.internal.matchers.Equals,org.easymock.internal.matchers.Equals,0
org.easymock.internal.matchers.EqualsWithDelta,org.easymock.internal.matchers.EqualsWithDelta,0
org.easymock.internal.matchers.Find,org.easymock.internal.matchers.Find,0
org.easymock.internal.matchers.GreaterOrEqual,org.easymock.internal.matchers.GreaterOrEqual,0
org.easymock.internal.matchers.GreaterThan,org.easymock.internal.matchers.GreaterThan,0
org.easymock.internal.matchers.InstanceOf,org.easymock.internal.matchers.InstanceOf,0
org.easymock.internal.matchers.LessOrEqual,org.easymock.internal.matchers.LessOrEqual,0
org.easymock.internal.matchers.LessThan,org.easymock.internal.matchers.LessThan,0
org.easymock.internal.matchers.Matches,org.easymock.internal.matchers.Matches,0
org.easymock.internal.matchers.Not,org.easymock.internal.matchers.Not,0
org.easymock.internal.matchers.NotNull,org.easymock.internal.matchers.NotNull,0
org.easymock.internal.matchers.Null,org.easymock.internal.matchers.Null,0
org.easymock.internal.matchers.Or,org.easymock.internal.matchers.Or,4
org.easymock.internal.matchers.Same,org.easymock.internal.matchers.Same,9
org.easymock.internal.matchers.StartsWith,org.easymock.internal.matchers.StartsWith,0
