class_id,class_name,cluster_id
org.jfree.chart.ChartColor,org.jfree.chart.ChartColor,0
org.jfree.chart.ChartFactory,org.jfree.chart.ChartFactory,1
org.jfree.chart.ChartFrame,org.jfree.chart.ChartFrame,2
org.jfree.chart.ChartHints,org.jfree.chart.ChartHints,3
org.jfree.chart.ChartHints$Key,org.jfree.chart.ChartHints$Key,3
org.jfree.chart.ChartMouseEvent,org.jfree.chart.ChartMouseEvent,4
org.jfree.chart.ChartMouseListener,org.jfree.chart.ChartMouseListener,2
org.jfree.chart.ChartPanel,org.jfree.chart.ChartPanel,2
org.jfree.chart.ChartRenderingInfo,org.jfree.chart.ChartRenderingInfo,2
org.jfree.chart.ChartTheme,org.jfree.chart.ChartTheme,1
org.jfree.chart.ChartTransferable,org.jfree.chart.ChartTransferable,2
org.jfree.chart.ChartUtilities,org.jfree.chart.ChartUtilities,2
org.jfree.chart.ClipPath,org.jfree.chart.ClipPath,5
org.jfree.chart.DrawableLegendItem,org.jfree.chart.DrawableLegendItem,6
org.jfree.chart.Effect3D,org.jfree.chart.Effect3D,5
org.jfree.chart.HashUtilities,org.jfree.chart.HashUtilities,7
org.jfree.chart.JFreeChart,org.jfree.chart.JFreeChart,2
org.jfree.chart.JFreeChart$1,org.jfree.chart.JFreeChart$1,2
org.jfree.chart.JFreeChartInfo,org.jfree.chart.JFreeChartInfo,2
org.jfree.chart.LegendItem,org.jfree.chart.LegendItem,6
org.jfree.chart.LegendItemCollection,org.jfree.chart.LegendItemCollection,0
org.jfree.chart.LegendItemSource,org.jfree.chart.LegendItemSource,2
org.jfree.chart.LegendRenderingOrder,org.jfree.chart.LegendRenderingOrder,8
org.jfree.chart.MouseWheelHandler,org.jfree.chart.MouseWheelHandler,2
org.jfree.chart.PaintMap,org.jfree.chart.PaintMap,1
org.jfree.chart.PolarChartPanel,org.jfree.chart.PolarChartPanel,2
org.jfree.chart.StandardChartTheme,org.jfree.chart.StandardChartTheme,0
org.jfree.chart.StandardChartTheme$1,org.jfree.chart.StandardChartTheme$1,0
org.jfree.chart.StrokeMap,org.jfree.chart.StrokeMap,1
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.annotations.AbstractAnnotation,0
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.AbstractXYAnnotation,0
org.jfree.chart.annotations.Annotation,org.jfree.chart.annotations.Annotation,0
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryAnnotation,0
org.jfree.chart.annotations.CategoryLineAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation,0
org.jfree.chart.annotations.CategoryPointerAnnotation,org.jfree.chart.annotations.CategoryPointerAnnotation,0
org.jfree.chart.annotations.CategoryTextAnnotation,org.jfree.chart.annotations.CategoryTextAnnotation,0
org.jfree.chart.annotations.TextAnnotation,org.jfree.chart.annotations.TextAnnotation,0
org.jfree.chart.annotations.XYAnnotation,org.jfree.chart.annotations.XYAnnotation,0
org.jfree.chart.annotations.XYAnnotationBoundsInfo,org.jfree.chart.annotations.XYAnnotationBoundsInfo,0
org.jfree.chart.annotations.XYBoxAnnotation,org.jfree.chart.annotations.XYBoxAnnotation,0
org.jfree.chart.annotations.XYDataImageAnnotation,org.jfree.chart.annotations.XYDataImageAnnotation,0
org.jfree.chart.annotations.XYDrawableAnnotation,org.jfree.chart.annotations.XYDrawableAnnotation,0
org.jfree.chart.annotations.XYImageAnnotation,org.jfree.chart.annotations.XYImageAnnotation,0
org.jfree.chart.annotations.XYLineAnnotation,org.jfree.chart.annotations.XYLineAnnotation,0
org.jfree.chart.annotations.XYPointerAnnotation,org.jfree.chart.annotations.XYPointerAnnotation,0
org.jfree.chart.annotations.XYPolygonAnnotation,org.jfree.chart.annotations.XYPolygonAnnotation,0
org.jfree.chart.annotations.XYShapeAnnotation,org.jfree.chart.annotations.XYShapeAnnotation,0
org.jfree.chart.annotations.XYTextAnnotation,org.jfree.chart.annotations.XYTextAnnotation,0
org.jfree.chart.annotations.XYTitleAnnotation,org.jfree.chart.annotations.XYTitleAnnotation,0
org.jfree.chart.axis.Axis,org.jfree.chart.axis.Axis,5
org.jfree.chart.axis.AxisCollection,org.jfree.chart.axis.AxisCollection,0
org.jfree.chart.axis.AxisLabelLocation,org.jfree.chart.axis.AxisLabelLocation,5
org.jfree.chart.axis.AxisLocation,org.jfree.chart.axis.AxisLocation,0
org.jfree.chart.axis.AxisSpace,org.jfree.chart.axis.AxisSpace,0
org.jfree.chart.axis.AxisState,org.jfree.chart.axis.AxisState,5
org.jfree.chart.axis.CategoryAnchor,org.jfree.chart.axis.CategoryAnchor,0
org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.CategoryAxis,5
org.jfree.chart.axis.CategoryAxis3D,org.jfree.chart.axis.CategoryAxis3D,5
org.jfree.chart.axis.CategoryLabelPosition,org.jfree.chart.axis.CategoryLabelPosition,7
org.jfree.chart.axis.CategoryLabelPositions,org.jfree.chart.axis.CategoryLabelPositions,7
org.jfree.chart.axis.CategoryLabelWidthType,org.jfree.chart.axis.CategoryLabelWidthType,7
org.jfree.chart.axis.CategoryTick,org.jfree.chart.axis.CategoryTick,5
org.jfree.chart.axis.ColorBar,org.jfree.chart.axis.ColorBar,5
org.jfree.chart.axis.CompassFormat,org.jfree.chart.axis.CompassFormat,7
org.jfree.chart.axis.CyclicNumberAxis,org.jfree.chart.axis.CyclicNumberAxis,5
org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick,org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick,5
org.jfree.chart.axis.DateAxis,org.jfree.chart.axis.DateAxis,5
org.jfree.chart.axis.DateAxis$1,org.jfree.chart.axis.DateAxis$1,5
org.jfree.chart.axis.DateAxis$DefaultTimeline,org.jfree.chart.axis.DateAxis$DefaultTimeline,5
org.jfree.chart.axis.DateTick,org.jfree.chart.axis.DateTick,5
org.jfree.chart.axis.DateTickMarkPosition,org.jfree.chart.axis.DateTickMarkPosition,5
org.jfree.chart.axis.DateTickUnit,org.jfree.chart.axis.DateTickUnit,5
org.jfree.chart.axis.DateTickUnitType,org.jfree.chart.axis.DateTickUnitType,5
org.jfree.chart.axis.ExtendedCategoryAxis,org.jfree.chart.axis.ExtendedCategoryAxis,5
org.jfree.chart.axis.LogAxis,org.jfree.chart.axis.LogAxis,5
org.jfree.chart.axis.LogTick,org.jfree.chart.axis.LogTick,5
org.jfree.chart.axis.LogarithmicAxis,org.jfree.chart.axis.LogarithmicAxis,5
org.jfree.chart.axis.MarkerAxisBand,org.jfree.chart.axis.MarkerAxisBand,5
org.jfree.chart.axis.ModuloAxis,org.jfree.chart.axis.ModuloAxis,5
org.jfree.chart.axis.MonthDateFormat,org.jfree.chart.axis.MonthDateFormat,7
org.jfree.chart.axis.NumberAxis,org.jfree.chart.axis.NumberAxis,5
org.jfree.chart.axis.NumberAxis3D,org.jfree.chart.axis.NumberAxis3D,5
org.jfree.chart.axis.NumberTick,org.jfree.chart.axis.NumberTick,5
org.jfree.chart.axis.NumberTickUnit,org.jfree.chart.axis.NumberTickUnit,5
org.jfree.chart.axis.NumberTickUnitSource,org.jfree.chart.axis.NumberTickUnitSource,5
org.jfree.chart.axis.PeriodAxis,org.jfree.chart.axis.PeriodAxis,9
org.jfree.chart.axis.PeriodAxisLabelInfo,org.jfree.chart.axis.PeriodAxisLabelInfo,9
org.jfree.chart.axis.QuarterDateFormat,org.jfree.chart.axis.QuarterDateFormat,7
org.jfree.chart.axis.SegmentedTimeline,org.jfree.chart.axis.SegmentedTimeline,5
org.jfree.chart.axis.SegmentedTimeline$BaseTimelineSegmentRange,org.jfree.chart.axis.SegmentedTimeline$BaseTimelineSegmentRange,5
org.jfree.chart.axis.SegmentedTimeline$Segment,org.jfree.chart.axis.SegmentedTimeline$Segment,5
org.jfree.chart.axis.SegmentedTimeline$SegmentRange,org.jfree.chart.axis.SegmentedTimeline$SegmentRange,5
org.jfree.chart.axis.StandardTickUnitSource,org.jfree.chart.axis.StandardTickUnitSource,5
org.jfree.chart.axis.SubCategoryAxis,org.jfree.chart.axis.SubCategoryAxis,5
org.jfree.chart.axis.SymbolAxis,org.jfree.chart.axis.SymbolAxis,5
org.jfree.chart.axis.Tick,org.jfree.chart.axis.Tick,5
org.jfree.chart.axis.TickType,org.jfree.chart.axis.TickType,5
org.jfree.chart.axis.TickUnit,org.jfree.chart.axis.TickUnit,5
org.jfree.chart.axis.TickUnitSource,org.jfree.chart.axis.TickUnitSource,5
org.jfree.chart.axis.TickUnits,org.jfree.chart.axis.TickUnits,5
org.jfree.chart.axis.Timeline,org.jfree.chart.axis.Timeline,5
org.jfree.chart.axis.ValueAxis,org.jfree.chart.axis.ValueAxis,5
org.jfree.chart.axis.ValueTick,org.jfree.chart.axis.ValueTick,5
org.jfree.chart.block.AbstractBlock,org.jfree.chart.block.AbstractBlock,2
org.jfree.chart.block.Arrangement,org.jfree.chart.block.Arrangement,2
org.jfree.chart.block.Block,org.jfree.chart.block.Block,2
org.jfree.chart.block.BlockBorder,org.jfree.chart.block.BlockBorder,2
org.jfree.chart.block.BlockContainer,org.jfree.chart.block.BlockContainer,2
org.jfree.chart.block.BlockFrame,org.jfree.chart.block.BlockFrame,2
org.jfree.chart.block.BlockParams,org.jfree.chart.block.BlockParams,2
org.jfree.chart.block.BlockResult,org.jfree.chart.block.BlockResult,9
org.jfree.chart.block.BorderArrangement,org.jfree.chart.block.BorderArrangement,2
org.jfree.chart.block.CenterArrangement,org.jfree.chart.block.CenterArrangement,2
org.jfree.chart.block.ColorBlock,org.jfree.chart.block.ColorBlock,2
org.jfree.chart.block.ColumnArrangement,org.jfree.chart.block.ColumnArrangement,2
org.jfree.chart.block.EmptyBlock,org.jfree.chart.block.EmptyBlock,2
org.jfree.chart.block.EntityBlockParams,org.jfree.chart.block.EntityBlockParams,2
org.jfree.chart.block.EntityBlockResult,org.jfree.chart.block.EntityBlockResult,2
org.jfree.chart.block.FlowArrangement,org.jfree.chart.block.FlowArrangement,2
org.jfree.chart.block.GridArrangement,org.jfree.chart.block.GridArrangement,2
org.jfree.chart.block.LabelBlock,org.jfree.chart.block.LabelBlock,2
org.jfree.chart.block.LengthConstraintType,org.jfree.chart.block.LengthConstraintType,2
org.jfree.chart.block.LineBorder,org.jfree.chart.block.LineBorder,7
org.jfree.chart.block.RectangleConstraint,org.jfree.chart.block.RectangleConstraint,2
org.jfree.chart.editor.ChartEditor,org.jfree.chart.editor.ChartEditor,2
org.jfree.chart.editor.ChartEditorFactory,org.jfree.chart.editor.ChartEditorFactory,2
org.jfree.chart.editor.ChartEditorManager,org.jfree.chart.editor.ChartEditorManager,2
org.jfree.chart.editor.DefaultAxisEditor,org.jfree.chart.editor.DefaultAxisEditor,5
org.jfree.chart.editor.DefaultChartEditor,org.jfree.chart.editor.DefaultChartEditor,2
org.jfree.chart.editor.DefaultChartEditorFactory,org.jfree.chart.editor.DefaultChartEditorFactory,2
org.jfree.chart.editor.DefaultColorBarEditor,org.jfree.chart.editor.DefaultColorBarEditor,5
org.jfree.chart.editor.DefaultLogAxisEditor,org.jfree.chart.editor.DefaultLogAxisEditor,5
org.jfree.chart.editor.DefaultNumberAxisEditor,org.jfree.chart.editor.DefaultNumberAxisEditor,5
org.jfree.chart.editor.DefaultPlotEditor,org.jfree.chart.editor.DefaultPlotEditor,0
org.jfree.chart.editor.DefaultPolarPlotEditor,org.jfree.chart.editor.DefaultPolarPlotEditor,0
org.jfree.chart.editor.DefaultTitleEditor,org.jfree.chart.editor.DefaultTitleEditor,2
org.jfree.chart.editor.DefaultValueAxisEditor,org.jfree.chart.editor.DefaultValueAxisEditor,5
org.jfree.chart.editor.PaletteChooserPanel,org.jfree.chart.editor.PaletteChooserPanel,5
org.jfree.chart.editor.PaletteSample,org.jfree.chart.editor.PaletteSample,5
org.jfree.chart.encoders.EncoderUtil,org.jfree.chart.encoders.EncoderUtil,2
org.jfree.chart.encoders.ImageEncoder,org.jfree.chart.encoders.ImageEncoder,2
org.jfree.chart.encoders.ImageEncoderFactory,org.jfree.chart.encoders.ImageEncoderFactory,2
org.jfree.chart.encoders.ImageFormat,org.jfree.chart.encoders.ImageFormat,10
