arm,seed,class_count,population_size,generations,initial_before_feasible_count,initial_before_feasible_rate,initial_after_feasible_count,initial_after_feasible_rate,final_feasible_individual_count,final_pareto_front_size,final_hypervolume,best_hypervolume,plateau_generation_1pct_best_so_far,reaches_positive_hypervolume
random_with_repair,0,814,100,100,0,0.0,100.0,1.0,100,61,0.017813074762327,0.017813074762327,93,True
random_with_repair,1,814,100,100,0,0.0,100.0,1.0,100,66,0.0182248992552052,0.0182248992552052,92,True
random_with_repair,2,814,100,100,0,0.0,100.0,1.0,100,77,0.0181805800221685,0.0181805800221685,86,True
random_with_repair,3,814,100,100,0,0.0,100.0,1.0,100,100,0.0175095037213099,0.0175095037213099,95,True
random_with_repair,4,814,100,100,0,0.0,100.0,1.0,100,44,0.0188422889554928,0.0188422889554928,87,True
random_with_repair,5,814,100,100,0,0.0,100.0,1.0,100,63,0.0194065385400008,0.0194065385400008,99,True
random_with_repair,6,814,100,100,0,0.0,100.0,1.0,100,57,0.0194409448384132,0.0194409448384132,94,True
random_with_repair,7,814,100,100,0,0.0,100.0,1.0,100,72,0.0179386347052989,0.0179386347052989,68,True
random_with_repair,8,814,100,100,0,0.0,100.0,1.0,100,37,0.0179174276337308,0.0179174276337308,81,True
random_with_repair,9,814,100,100,0,0.0,100.0,1.0,100,57,0.0195576089352053,0.0195576089352053,87,True
random_without_repair,0,814,100,100,0,0.0,,,100,58,0.019284181068597,0.019284181068597,76,True
random_without_repair,1,814,100,100,0,0.0,,,100,89,0.0189126972642079,0.0189126972642079,82,True
random_without_repair,2,814,100,100,0,0.0,,,100,65,0.0204726576936358,0.0204726576936358,80,True
random_without_repair,3,814,100,100,0,0.0,,,100,62,0.0199215914560584,0.0199215914560584,92,True
random_without_repair,4,814,100,100,0,0.0,,,100,94,0.0189565086909348,0.0189565086909348,50,True
random_without_repair,5,814,100,100,0,0.0,,,100,68,0.0200471223555561,0.0200471223555561,84,True
random_without_repair,6,814,100,100,0,0.0,,,100,41,0.0199789335868372,0.0199789335868372,85,True
random_without_repair,7,814,100,100,0,0.0,,,100,65,0.0202286659616649,0.0202286659616649,74,True
random_without_repair,8,814,100,100,0,0.0,,,100,79,0.0211297439115954,0.0211297439115954,98,True
random_without_repair,9,814,100,100,0,0.0,,,100,89,0.0206490676515615,0.0206490676515615,86,True
