subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
xerces,0,62000,1673,0.0059772863120143458,,0.094441123729826659
xerces,1,62001,1673,0.012552301255230125,,0.085475194261805137
xerces,2,62002,1673,0.008368200836820083,,0.10699342498505679
xerces,3,62003,1673,0.0089659294680215183,,0.083682008368200833
xerces,4,62004,1673,0.015540944411237299,,0.084279736999402277
xerces,5,62005,1673,0.0089659294680215183,,0.089061566049013746
xerces,6,62006,1673,0.0077704722056186493,,0.085475194261805137
xerces,7,62007,1673,0.013150029886431561,,0.083682008368200833
xerces,8,62008,1673,0.009563658099222952,,0.07830245068738792
xerces,9,62009,1673,0.015540944411237299,,0.080095636580992224
xerces,10,62010,1673,0.010161386730424387,,0.080693365212193668
xerces,11,62011,1673,0.010759115361625823,,0.083682008368200833
xerces,12,62012,1673,0.011954572624028692,,0.091452480573819481
xerces,13,62013,1673,0.013747758517632994,,0.099820681410639572
xerces,14,62014,1673,0.008368200836820083,,0.075313807531380755
xerces,15,62015,1673,0.011954572624028692,,0.081291093843395099
xerces,16,62016,1673,0.011356843992827256,,0.07830245068738792
xerces,17,62017,1673,0.013150029886431561,,0.098625224148236698
xerces,18,62018,1673,0.012552301255230125,,0.087866108786610872
xerces,19,62019,1673,0.008368200836820083,,0.092050209205020925
xerces,20,62020,1673,0.011954572624028692,,0.083682008368200833
xerces,21,62021,1673,0.010759115361625823,,0.081291093843395099
xerces,22,62022,1673,0.0071727435744172148,,0.079497907949790794
xerces,23,62023,1673,0.010759115361625823,,0.093843395098625229
xerces,24,62024,1673,0.008368200836820083,,0.083682008368200833
xerces,25,62025,1673,0.012552301255230125,,0.081888822474596529
xerces,26,62026,1673,0.012552301255230125,,0.085475194261805137
xerces,27,62027,1673,0.0071727435744172148,,0.07770472205618649
xerces,28,62028,1673,0.013747758517632994,,0.086670651524208012
xerces,29,62029,1673,0.0077704722056186493,,0.089659294680215176
xerces,30,62030,1673,0.012552301255230125,,0.089659294680215176
xerces,31,62031,1673,0.0077704722056186493,,0.081291093843395099
xerces,32,62032,1673,0.019127316198445904,,0.096234309623430964
xerces,33,62033,1673,0.010161386730424387,,0.071129707112970716
xerces,34,62034,1673,0.012552301255230125,,0.093245666467423785
xerces,35,62035,1673,0.010759115361625823,,0.080693365212193668
xerces,36,62036,1673,0.010161386730424387,,0.079497907949790794
xerces,37,62037,1673,0.010161386730424387,,0.10101613867304243
xerces,38,62038,1673,0.010759115361625823,,0.083682008368200833
xerces,39,62039,1673,0.015540944411237299,,0.083682008368200833
xerces,40,62040,1673,0.009563658099222952,,0.086072922893006582
xerces,41,62041,1673,0.011356843992827256,,0.093245666467423785
xerces,42,62042,1673,0.016138673042438732,,0.099222952779438128
xerces,43,62043,1673,0.013747758517632994,,0.085475194261805137
xerces,44,62044,1673,0.012552301255230125,,0.07770472205618649
xerces,45,62045,1673,0.013747758517632994,,0.093245666467423785
xerces,46,62046,1673,0.008368200836820083,,0.081291093843395099
xerces,47,62047,1673,0.014943215780035863,,0.089061566049013746
xerces,48,62048,1673,0.0089659294680215183,,0.089659294680215176
xerces,49,62049,1673,0.010161386730424387,,0.098027495517035268
xerces,50,62050,1673,0.0089659294680215183,,0.071727435744172147
xerces,51,62051,1673,0.012552301255230125,,0.080693365212193668
xerces,52,62052,1673,0.012552301255230125,,0.092050209205020925
xerces,53,62053,1673,0.011356843992827256,,0.091452480573819481
xerces,54,62054,1673,0.013150029886431561,,0.09025702331141662
xerces,55,62055,1673,0.010759115361625823,,0.078900179318589364
xerces,56,62056,1673,0.0089659294680215183,,0.093245666467423785
xerces,57,62057,1673,0.01434548714883443,,0.085475194261805137
xerces,58,62058,1673,0.012552301255230125,,0.080693365212193668
xerces,59,62059,1673,0.012552301255230125,,0.084279736999402277
xerces,60,62060,1673,0.013150029886431561,,0.079497907949790794
xerces,61,62061,1673,0.013747758517632994,,0.084877465630603707
xerces,62,62062,1673,0.015540944411237299,,0.087866108786610872
xerces,63,62063,1673,0.016138673042438732,,0.099820681410639572
xerces,64,62064,1673,0.01434548714883443,,0.087268380155409442
