row_index,class_id,class_name,input_hash
0,org.apache.xerces.dom.ASDOMImplementationImpl,ASDOMImplementationImpl,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d
1,org.apache.xerces.dom.ASModelImpl,ASModelImpl,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f
2,org.apache.xerces.dom.AttrImpl,AttrImpl,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf
3,org.apache.xerces.dom.AttrNSImpl,AttrNSImpl,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9
4,org.apache.xerces.dom.AttributeMap,AttributeMap,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb
5,org.apache.xerces.dom.CDATASectionImpl,CDATASectionImpl,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18
6,org.apache.xerces.dom.CharacterDataImpl,CharacterDataImpl,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c
7,org.apache.xerces.dom.CharacterDataImpl$1,CharacterDataImpl$1,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08
8,org.apache.xerces.dom.ChildNode,ChildNode,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349
9,org.apache.xerces.dom.CommentImpl,CommentImpl,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66
10,org.apache.xerces.dom.CoreDOMImplementationImpl,CoreDOMImplementationImpl,8a886053a4c55ca15251df711ec74d4a575606ec742d3431d4497f567de42cb8
11,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,CoreDOMImplementationImpl$RevalidationHandlerHolder,d4c1e4d22cf69731eaf96bb474d6c3055764f5fa67d0815f60bf2f6026b080f5
12,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,CoreDOMImplementationImpl$XMLDTDLoaderHolder,f263555e81ff266c1935394a4cb5cf4bba04abac097afd4a05c8449e6d071fc0
13,org.apache.xerces.dom.CoreDocumentImpl,CoreDocumentImpl,483a6d2dce2e7da493044c58f374672b70df9016f68c2cfd85419f3db10b7ce5
14,org.apache.xerces.dom.DOMConfigurationImpl,DOMConfigurationImpl,7d3de21c1b788b836a70610108d8c66a8d04ad1576235e23afba0e2ad15e480e
15,org.apache.xerces.dom.DOMErrorImpl,DOMErrorImpl,e0a4cf247e56a9ae4036cb9d7ef057e5fa45b1aeadf592277901558196803010
16,org.apache.xerces.dom.DOMImplementationImpl,DOMImplementationImpl,5fc1645321c508370122f899daf1eebe8117964647111db3c4bdc81b34879132
17,org.apache.xerces.dom.DOMImplementationListImpl,DOMImplementationListImpl,fbceed31d274c88c801419d725f6940f6d2ac0e08ea0319cc50e5bbf3b26a042
18,org.apache.xerces.dom.DOMImplementationSourceImpl,DOMImplementationSourceImpl,1ed5bf27e6152dc055e387162a8be9856d3f21dfceb7eadf5c04153f2490db85
19,org.apache.xerces.dom.DOMInputImpl,DOMInputImpl,78dd6fecbc09be6a1451806e4db036af227c21dd8b4e4c1a269795db9c7cd217
20,org.apache.xerces.dom.DOMLocatorImpl,DOMLocatorImpl,590e7acbd9ebb95990c1c9f40e8a7b6a281f96768019a5b2cb8a9184e6b08522
21,org.apache.xerces.dom.DOMMessageFormatter,DOMMessageFormatter,a1ffe4318308f9dd407e3f92d376e8668c946c25ac7f98ce24251666181738b5
22,org.apache.xerces.dom.DOMNormalizer,DOMNormalizer,af19f0958b536fa58192ebb81d9fa7a90e166fcd7e600c4061296897a2649d83
23,org.apache.xerces.dom.DOMNormalizer$1,DOMNormalizer$1,20ce941f171c287a8febb4a5b01792aec27f71fe4be05d05549da3dcf575aee6
24,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,DOMNormalizer$XMLAttributesProxy,a53ff7eb7a34b09f73c817105e90a68eed3a38ae6d96693bdc7edd21433ea5b4
25,org.apache.xerces.dom.DOMOutputImpl,DOMOutputImpl,c1e1943c12b81dd2a0f5da067d99aa3a1fdf7cc0f3c3c1da22b11467f0a297a3
26,org.apache.xerces.dom.DOMStringListImpl,DOMStringListImpl,a6fc8498f8d62671c318cf8a0f86b4a30ae9807d072d8703069db74b3e8497d2
27,org.apache.xerces.dom.DOMXSImplementationSourceImpl,DOMXSImplementationSourceImpl,cf2c82144b3d38e6231f3d04248c30aeb7ea253b37a88c6f78476daa97ff8289
28,org.apache.xerces.dom.DeepNodeListImpl,DeepNodeListImpl,17bbf6ca867d98f1869fc58e4ab3676824b25f731e37db8028024d1eda60d512
29,org.apache.xerces.dom.DeferredAttrImpl,DeferredAttrImpl,ac706eee30eae4b29b50c523142d67f5f990ee10bbdb3ca8dc2faef63b22974d
30,org.apache.xerces.dom.DeferredAttrNSImpl,DeferredAttrNSImpl,b2654f58d845331ba9c6499bcb3bff99dc60f4f59b1658e7e96a75406ea3467c
31,org.apache.xerces.dom.DeferredCDATASectionImpl,DeferredCDATASectionImpl,e9af53b37f0f377f42693c4bd7fa4460829674044cb003c13f85fb3032d58d86
32,org.apache.xerces.dom.DeferredCommentImpl,DeferredCommentImpl,bf4af5ad99bf22531ce097fd6b8dc4575864123767a140c5909093e0a3fc218c
33,org.apache.xerces.dom.DeferredDOMImplementationImpl,DeferredDOMImplementationImpl,d564f8c2d5ceed18cce008e7285be2fca4bfb1f08f21c732015d0c789bcd01b5
34,org.apache.xerces.dom.DeferredDocumentImpl,DeferredDocumentImpl,7d08e1d031c2e37cc4f84904ca2effd02b05f90d2f8f31d7bc630a67fbcad160
35,org.apache.xerces.dom.DeferredDocumentImpl$IntVector,DeferredDocumentImpl$IntVector,15ba6db5c7b2a80f0c18fe5f9a8eba4edb0dac50c7bbeafb9e06beb8057c4b70
36,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,DeferredDocumentImpl$RefCount,4c5b3c8dfa3a8bc432f70b296216d20e41b7aacc5c45aa42c05e87561f060dba
37,org.apache.xerces.dom.DeferredDocumentTypeImpl,DeferredDocumentTypeImpl,49ec0106319db4175c6232ab7e2e7134d3db73f3434c1c8a4853929f219f8bb0
38,org.apache.xerces.dom.DeferredElementDefinitionImpl,DeferredElementDefinitionImpl,e7b46f36baf37a4e80e0672265e63e67aa3a8f1bea8b9bab30a13a1c17e59ce3
39,org.apache.xerces.dom.DeferredElementImpl,DeferredElementImpl,addf4894d2331e40425be45bc9b792b493863275eb719f49d74426176d4a1045
40,org.apache.xerces.dom.DeferredElementNSImpl,DeferredElementNSImpl,4ab3bf0802b2c8cf6e896a04eed45f6b929e76ca4aa932f24621a6dbc6d4164e
41,org.apache.xerces.dom.DeferredEntityImpl,DeferredEntityImpl,aa4bbd96fec480e468e4843104dd334550c07b0c366cefe9ac1b11e78d7009da
42,org.apache.xerces.dom.DeferredEntityReferenceImpl,DeferredEntityReferenceImpl,92a946abb3ca267ea1b94bfdce5a21c9725724d198dd32e683fef3e62247eced
43,org.apache.xerces.dom.DeferredNode,DeferredNode,90fbbab23e08d2f741464c2e0623b4ad4ff4b7929e298993db92b1ea1dbe14f3
44,org.apache.xerces.dom.DeferredNotationImpl,DeferredNotationImpl,468b5723ae951bb0a66bd2abf6953d54101b846060f534670a7fcb5e59b0645d
45,org.apache.xerces.dom.DeferredProcessingInstructionImpl,DeferredProcessingInstructionImpl,f4ffe1b82556c0c26c55f3f71c0b0fd06ac06b0146a2b93608d8d3801975a422
46,org.apache.xerces.dom.DeferredTextImpl,DeferredTextImpl,44dfb58c5b48175a7223d2a32ad3604c60c729ed4065238caf9cdf16159c6408
47,org.apache.xerces.dom.DocumentFragmentImpl,DocumentFragmentImpl,fcd78058bbf792c73c342c82d279f778edaabf57ed3fe44951ffe9ae43c18a4a
48,org.apache.xerces.dom.DocumentImpl,DocumentImpl,46e40ff2c72bedf2d385235de99cccaca56a3749adb57f9d2baf9cced0a03afd
49,org.apache.xerces.dom.DocumentImpl$EnclosingAttr,DocumentImpl$EnclosingAttr,690921ebbcc0e5b15edb98e1b4dc4637a8fbf485f7cf4137956f6463e354e61a
50,org.apache.xerces.dom.DocumentImpl$LEntry,DocumentImpl$LEntry,d199f66cea8086ebf7673ba23dd0535b882c9c079ef5629543ca6fa44fac190e
51,org.apache.xerces.dom.DocumentTypeImpl,DocumentTypeImpl,c4bf03c888fedcc12dc8b7e8d7d512f4caa6db35219cc2c59748aa2962262af1
52,org.apache.xerces.dom.ElementDefinitionImpl,ElementDefinitionImpl,b12eb325335d5c64f0011d6803fd03213b604a2dc4b46988cbb12185f09982b9
53,org.apache.xerces.dom.ElementImpl,ElementImpl,7bec723f178367e2954e86664a01ec95e2b496b6f77f36007a54f103db2d881a
54,org.apache.xerces.dom.ElementNSImpl,ElementNSImpl,77033ab4b72069ba0472d09b3f29f40ce0acabf9397af36f9d698c8a5a570369
55,org.apache.xerces.dom.EntityImpl,EntityImpl,01f665d38e7a560903178bf415f30c88f4a32a09f458f394e3b8fea329abeaa7
56,org.apache.xerces.dom.EntityReferenceImpl,EntityReferenceImpl,e3bdda253d752c729de94b5f4914e3b73dc033cc87a4386fb7efc26a07a07692
57,org.apache.xerces.dom.LCount,LCount,f5a0518fdb10799c6bd1e5fa0af092b576f926aeef665af598d49bfe5905a665
58,org.apache.xerces.dom.NamedNodeMapImpl,NamedNodeMapImpl,a4ad67e83fe276217a48bade028ad4a2e198a1a48a75d976e742db63d342a62d
59,org.apache.xerces.dom.NodeImpl,NodeImpl,a054db087d47375fc54c85d2aaafbf4fc7360dd664db1bc5a3adea4c979e03ce
60,org.apache.xerces.dom.NodeIteratorImpl,NodeIteratorImpl,a5a9c79e39528c03bda96e0d68038239c6fedd13b2af7cfbcadb87b5a8644833
61,org.apache.xerces.dom.NodeListCache,NodeListCache,20ea4d55a1851683bafd498633db8380e8dbb4b5b464e34721663898ba88d342
