class_id,class_name,cluster_id
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.ASDOMImplementationImpl,0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.ASModelImpl,0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.AttrImpl,0
org.apache.xerces.dom.AttrNSImpl,org.apache.xerces.dom.AttrNSImpl,0
org.apache.xerces.dom.AttributeMap,org.apache.xerces.dom.AttributeMap,0
org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.dom.CDATASectionImpl,0
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom.CharacterDataImpl,0
org.apache.xerces.dom.CharacterDataImpl$1,org.apache.xerces.dom.CharacterDataImpl$1,0
org.apache.xerces.dom.ChildNode,org.apache.xerces.dom.ChildNode,0
org.apache.xerces.dom.CommentImpl,org.apache.xerces.dom.CommentImpl,0
org.apache.xerces.dom.CoreDOMImplementationImpl,org.apache.xerces.dom.CoreDOMImplementationImpl,0
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,0
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,1
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.CoreDocumentImpl,0
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.dom.DOMConfigurationImpl,2
org.apache.xerces.dom.DOMErrorImpl,org.apache.xerces.dom.DOMErrorImpl,3
org.apache.xerces.dom.DOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,0
org.apache.xerces.dom.DOMImplementationListImpl,org.apache.xerces.dom.DOMImplementationListImpl,0
org.apache.xerces.dom.DOMImplementationSourceImpl,org.apache.xerces.dom.DOMImplementationSourceImpl,0
org.apache.xerces.dom.DOMInputImpl,org.apache.xerces.dom.DOMInputImpl,4
org.apache.xerces.dom.DOMLocatorImpl,org.apache.xerces.dom.DOMLocatorImpl,5
org.apache.xerces.dom.DOMMessageFormatter,org.apache.xerces.dom.DOMMessageFormatter,0
org.apache.xerces.dom.DOMNormalizer,org.apache.xerces.dom.DOMNormalizer,0
org.apache.xerces.dom.DOMNormalizer$1,org.apache.xerces.dom.DOMNormalizer$1,0
