source_class_id,rank,target_class_id,weight
org.apache.xerces.dom.ASDOMImplementationImpl,1,org.apache.xerces.dom3.as.DOMImplementationAS,0.87950915041801647
org.apache.xerces.dom.ASDOMImplementationImpl,2,org.apache.xerces.dom.DOMImplementationImpl,0.7237171574503185
org.apache.xerces.dom.ASDOMImplementationImpl,3,org.apache.xerces.parsers.DOMASBuilderImpl,0.71858949894006729
org.apache.xerces.dom.ASModelImpl,1,org.apache.xerces.dom3.as.ASModel,0.89541493894652513
org.apache.xerces.dom.ASModelImpl,2,org.apache.xerces.dom3.as.DocumentAS,0.7209334413459767
org.apache.xerces.dom.ASModelImpl,3,org.apache.xerces.dom3.as.ASObject,0.71211549292703313
org.apache.xerces.dom.AttrImpl,1,org.apache.xerces.impl.xs.opti.AttrImpl,0.90575320395878223
org.apache.xerces.dom.AttrImpl,2,org.apache.xerces.dom.AttrNSImpl,0.75061629154644416
org.apache.xerces.dom.AttrImpl,3,org.apache.xerces.dom.ElementImpl,0.72887363570189634
org.apache.xerces.dom.AttrNSImpl,1,org.apache.xerces.dom.ElementNSImpl,0.81015753484241682
org.apache.xerces.dom.AttrNSImpl,2,org.apache.xerces.stax.events.NamespaceImpl,0.80961801363240071
org.apache.xerces.dom.AttrNSImpl,3,org.apache.xerces.impl.xs.opti.AttrImpl,0.7877656750519888
org.apache.xerces.dom.AttributeMap,1,org.apache.xerces.impl.xs.opti.NamedNodeMapImpl,0.7796614504382352
org.apache.xerces.dom.AttributeMap,2,org.apache.xerces.dom.NamedNodeMapImpl,0.77844932060333893
org.apache.xerces.dom.AttributeMap,3,org.apache.xerces.impl.xs.util.XSNamedMapImpl,0.66538995042253035
org.apache.xerces.dom.CDATASectionImpl,1,org.apache.xerces.dom.DeferredCDATASectionImpl,0.72942759715517647
org.apache.xerces.dom.CDATASectionImpl,2,org.apache.xerces.dom.CommentImpl,0.69173231816654224
org.apache.xerces.dom.CDATASectionImpl,3,org.apache.xerces.dom.TextImpl,0.66450014358617293
org.apache.xerces.dom.CharacterDataImpl,1,org.apache.xerces.dom.TextImpl,0.7623480558204907
org.apache.xerces.dom.CharacterDataImpl,2,org.apache.xerces.dom.CommentImpl,0.73246627181722024
org.apache.xerces.dom.CharacterDataImpl,3,org.apache.xerces.dom3.as.CharacterDataEditAS,0.69569677778142192
org.apache.xerces.dom.CharacterDataImpl$1,1,org.apache.xerces.dom.ParentNode$1,0.7587731892437839
org.apache.xerces.dom.CharacterDataImpl$1,2,org.apache.xerces.dom.CharacterDataImpl,0.66740452553008134
org.apache.xerces.dom.CharacterDataImpl$1,3,org.apache.xerces.dom.DeepNodeListImpl,0.6546469974914888
org.apache.xerces.dom.ChildNode,1,org.apache.xerces.dom.ParentNode,0.74862197689657772
org.apache.xerces.dom.ChildNode,2,org.apache.xerces.dom.NodeImpl,0.6800227058840288
org.apache.xerces.dom.ChildNode,3,org.apache.xerces.dom.ElementDefinitionImpl,0.66276043850070476
org.apache.xerces.dom.CommentImpl,1,org.apache.xerces.stax.events.CommentImpl,0.76286576010160556
org.apache.xerces.dom.CommentImpl,2,org.apache.xerces.dom.CharacterDataImpl,0.73246627181722024
org.apache.xerces.dom.CommentImpl,3,org.apache.xerces.dom.TextImpl,0.69912738012329723
org.apache.xerces.dom.CoreDOMImplementationImpl,1,org.apache.xerces.dom.DOMImplementationImpl,0.88648509088258076
org.apache.xerces.dom.CoreDOMImplementationImpl,2,org.apache.xerces.dom.PSVIDOMImplementationImpl,0.73723622609585493
org.apache.xerces.dom.CoreDOMImplementationImpl,3,org.apache.xerces.impl.xs.opti.SchemaDOMImplementation,0.71266931473380712
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,1,org.apache.xerces.impl.RevalidationHandler,0.60595278754452597
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,2,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,0.59513034236624351
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,3,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$1,0.57248100509565536
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,1,org.apache.xerces.impl.dtd.XMLDTDLoader,0.68568240266034308
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,2,org.apache.xerces.xni.parser.XMLDTDSource,0.61514422299359917
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,3,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,0.59513034236624351
org.apache.xerces.dom.CoreDocumentImpl,1,org.apache.xerces.dom.DocumentImpl,0.85115164836886636
org.apache.xerces.dom.CoreDocumentImpl,2,org.apache.xerces.dom.DocumentTypeImpl,0.75200578397431761
org.apache.xerces.dom.CoreDocumentImpl,3,org.apache.xerces.impl.xs.opti.DefaultDocument,0.71830197442253774
org.apache.xerces.dom.DOMConfigurationImpl,1,org.apache.xerces.parsers.DOMParserImpl,0.77004168605207568
org.apache.xerces.dom.DOMConfigurationImpl,2,org.apache.xerces.parsers.BasicParserConfiguration,0.76956320120693633
org.apache.xerces.dom.DOMConfigurationImpl,3,org.apache.xerces.util.ParserConfigurationSettings,0.75590008751403359
org.apache.xerces.dom.DOMErrorImpl,1,org.apache.xerces.util.DOMErrorHandlerWrapper,0.7075433477062244
org.apache.xerces.dom.DOMErrorImpl,2,org.apache.xerces.dom.DOMLocatorImpl,0.69357859751888384
org.apache.xerces.dom.DOMErrorImpl,3,org.apache.xerces.util.ErrorHandlerWrapper,0.60439984220593879
