class_id_a,class_id_b,weight,selected_by
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,0.7237171574503185,a
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMImplementationAS,0.87950915041801647,both
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.parsers.DOMASBuilderImpl,0.71858949894006729,both
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASContentModel,0.70528647062457095,b
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,0.89541493894652513,both
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASObject,0.71211549292703313,both
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.DocumentAS,0.7209334413459767,both
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.AttrNSImpl,0.75061629154644416,a
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ElementImpl,0.72887363570189634,a
org.apache.xerces.dom.AttrImpl,org.apache.xerces.impl.xs.opti.AttrImpl,0.90575320395878223,both
org.apache.xerces.dom.AttrNSImpl,org.apache.xerces.dom.ElementNSImpl,0.81015753484241682,both
org.apache.xerces.dom.AttrNSImpl,org.apache.xerces.impl.xs.opti.AttrImpl,0.7877656750519888,both
org.apache.xerces.dom.AttrNSImpl,org.apache.xerces.stax.events.NamespaceImpl,0.80961801363240071,both
org.apache.xerces.dom.AttributeMap,org.apache.xerces.dom.NamedNodeMapImpl,0.77844932060333893,both
org.apache.xerces.dom.AttributeMap,org.apache.xerces.impl.xs.opti.NamedNodeMapImpl,0.7796614504382352,both
org.apache.xerces.dom.AttributeMap,org.apache.xerces.impl.xs.util.XSNamedMapImpl,0.66538995042253035,a
org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.dom.CommentImpl,0.69173231816654224,a
org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.dom.DeferredCDATASectionImpl,0.72942759715517647,a
org.apache.xerces.dom.CDATASectionImpl,org.apache.xerces.dom.TextImpl,0.66450014358617293,a
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom.CharacterDataImpl$1,0.66740452553008134,b
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom.CommentImpl,0.73246627181722024,both
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom.TextImpl,0.7623480558204907,both
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.dom3.as.CharacterDataEditAS,0.69569677778142192,both
org.apache.xerces.dom.CharacterDataImpl,org.apache.xerces.stax.events.CharactersImpl,0.67180381394269439,b
org.apache.xerces.dom.CharacterDataImpl$1,org.apache.xerces.dom.DeepNodeListImpl,0.6546469974914888,both
org.apache.xerces.dom.CharacterDataImpl$1,org.apache.xerces.dom.NodeListCache,0.52251673082491945,b
org.apache.xerces.dom.CharacterDataImpl$1,org.apache.xerces.dom.ParentNode$1,0.7587731892437839,both
org.apache.xerces.dom.ChildNode,org.apache.xerces.dom.ElementDefinitionImpl,0.66276043850070476,a
org.apache.xerces.dom.ChildNode,org.apache.xerces.dom.NodeImpl,0.6800227058840288,a
org.apache.xerces.dom.ChildNode,org.apache.xerces.dom.ParentNode,0.74862197689657772,both
org.apache.xerces.dom.CommentImpl,org.apache.xerces.dom.ProcessingInstructionImpl,0.64643765863796421,b
org.apache.xerces.dom.CommentImpl,org.apache.xerces.dom.TextImpl,0.69912738012329723,a
org.apache.xerces.dom.CommentImpl,org.apache.xerces.stax.events.CommentImpl,0.76286576010160556,both
org.apache.xerces.dom.CoreDOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,0.88648509088258076,both
org.apache.xerces.dom.CoreDOMImplementationImpl,org.apache.xerces.dom.PSVIDOMImplementationImpl,0.73723622609585493,both
org.apache.xerces.dom.CoreDOMImplementationImpl,org.apache.xerces.impl.xs.opti.SchemaDOMImplementation,0.71266931473380712,both
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,0.59513034236624351,both
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,org.apache.xerces.impl.RevalidationHandler,0.60595278754452597,a
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$1,0.57248100509565536,a
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,org.apache.xerces.impl.dtd.XMLDTDLoader,0.68568240266034308,a
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,org.apache.xerces.xni.parser.XMLDTDSource,0.61514422299359917,a
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.DeferredDocumentImpl,0.71587945676172449,b
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.DocumentFragmentImpl,0.66762499579843226,b
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.DocumentImpl,0.85115164836886636,both
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.DocumentTypeImpl,0.75200578397431761,both
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.NodeImpl,0.70968648136025936,b
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.dom.PSVIDocumentImpl,0.62891911006303614,b
org.apache.xerces.dom.CoreDocumentImpl,org.apache.xerces.impl.xs.opti.DefaultDocument,0.71830197442253774,both
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.parsers.BasicParserConfiguration,0.76956320120693633,both
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.parsers.DOMParser,0.72607637071598297,b
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.parsers.DOMParserImpl,0.77004168605207568,both
org.apache.xerces.dom.DOMConfigurationImpl,org.apache.xerces.util.ParserConfigurationSettings,0.75590008751403359,a
org.apache.xerces.dom.DOMErrorImpl,org.apache.xerces.dom.DOMLocatorImpl,0.69357859751888384,a
